village_id,village,district,block,state,is_core_sample,latitude,longitude,distance_to_border_km,village_source,district_verified,ndbi_before,ndbi_after,ndbi_before_image_count,ndbi_after_image_count,lights_before,lights_after,lights_before_image_count,lights_after_image_count
1,Upper Traflagam 266829,Anjaw,Unknown,Arunachal Pradesh,True,28.3500638,96.6336613,10.504838648105531,control (non-VVP),True,-0.30287704703838036,-0.18011804604752177,24,29,0.3517960872397076,0.087044693779346,4,4
2,Tarampa,Anjaw,Unknown,Arunachal Pradesh,True,28.3416126,96.6186283,11.586133525677417,control (non-VVP),True,-0.2564959606908624,-0.19248768475478512,24,29,0.40611856789130235,0.08135906117707825,4,4
3,Matkrong,Anjaw,Unknown,Arunachal Pradesh,True,27.8559038,96.9824133,12.589815225144246,control (non-VVP),True,-0.266430958937965,-0.2914269050032022,48,57,0.3770130315831402,0.22153454141465617,4,4
4,Abochagan,Anjaw,Unknown,Arunachal Pradesh,True,28.3136489,96.6140466,14.801871758475004,control (non-VVP),True,-0.22788019657266623,-0.17497911278247,24,29,0.37706714656853124,0.11229189691215456,4,4
5,Maling,Anjaw,Unknown,Arunachal Pradesh,True,28.2834154,96.5597358,16.934334664990818,control (non-VVP),True,-0.25715228344862057,-0.23869348157310774,24,29,0.3443011109012267,0.07732596805741115,4,4
6,Khalega,Anjaw,Unknown,Arunachal Pradesh,True,28.2806477,96.5718641,17.79677059210524,control (non-VVP),True,-0.22903541712929773,-0.21145202570338384,24,29,0.28808223128845095,0.21224613574890636,4,4
7,Shirong,Anjaw,Unknown,Arunachal Pradesh,True,27.903587,96.9409105,19.46242042683188,control (non-VVP),True,-0.243076586866017,-0.2590514361171298,24,29,0.2302502840086902,0.11349550538242734,4,4
8,Gai,Anjaw,Unknown,Arunachal Pradesh,True,27.9167902,96.9468696,20.235107019894407,control (non-VVP),True,-0.23489425519740323,-0.23666960221740463,24,29,0.1495537673125246,0.12838414307278964,4,4
9,Khampti Pani,Anjaw,Unknown,Arunachal Pradesh,True,27.9282865,96.9573301,20.606753873624825,control (non-VVP),True,-0.20892118539813043,-0.23187718076454938,48,58,0.275880205718417,0.18946006873997578,4,4
10,Xiao Madengliang,Anjaw,Unknown,Arunachal Pradesh,True,28.2208547,96.5152684,21.257067452938543,control (non-VVP),True,-0.21899848153150914,-0.23727550888924195,24,29,0.3077277777333094,0.0900253092260409,4,4
11,Tilam,Anjaw,Unknown,Arunachal Pradesh,True,28.1432798,97.0060273,21.76251613786226,control (non-VVP),True,-0.2607779702404492,-0.287642138063411,48,58,0.3143331490656627,0.20437500301548941,4,4
12,Minjong,Anjaw,Unknown,Arunachal Pradesh,True,27.9447015,96.9531849,22.21694825536442,control (non-VVP),True,-0.2326796098583286,-0.27208195408835906,48,58,0.14754764389062947,0.12811659133654807,4,4
13,Jiliang,Anjaw,Unknown,Arunachal Pradesh,True,28.2187403,96.536865,22.335877376893624,control (non-VVP),True,-0.2065959508725616,-0.27173376756547957,24,29,0.37602891261638605,0.20880978793999772,4,4
14,Tinai,Anjaw,Unknown,Arunachal Pradesh,True,28.1383669,97.0271327,22.77983817624609,control (non-VVP),True,-0.1523979924804315,-0.15301287404109667,48,58,0.31427247196101066,0.3648314646120822,4,4
15,Kalin,Anjaw,Unknown,Arunachal Pradesh,True,27.9654847,96.9709934,22.844731132325425,control (non-VVP),True,-0.2086709215674636,-0.2125681154417983,96,115,0.2893624125044351,0.1670441847352907,4,4
16,Halla,Anjaw,Unknown,Arunachal Pradesh,True,27.9655372,96.962708,23.363493438772693,control (non-VVP),True,-0.19587291170770596,-0.22287113771640893,96,115,0.23897157069565597,0.10449554079285966,4,4
17,Yashong Camp,Anjaw,Unknown,Arunachal Pradesh,True,27.9752592,96.9686698,23.88390429456526,control (non-VVP),True,-0.22352401730031587,-0.240696463518372,96,115,0.20031596631009935,0.09330654175675364,4,4
18,Menilkrai,Anjaw,Unknown,Arunachal Pradesh,True,28.1024223,97.0047561,26.341690706125203,control (non-VVP),True,-0.09963012765112049,-0.1273940199477299,48,58,0.33117680755015966,0.20546452719550415,4,4
19,Sarti,Anjaw,Unknown,Arunachal Pradesh,True,28.0081411,96.9619129,27.38045906842876,control (non-VVP),True,-0.21768686665147186,-0.23850030254666763,96,115,0.23286632584695446,0.2206711362238965,4,4
20,Tarafliang,Anjaw,Unknown,Arunachal Pradesh,True,28.1541848,96.5174198,28.55526382525193,control (non-VVP),True,-0.21371554270844878,-0.23000509055029655,24,29,0.35940701340248427,0.09656458773664747,4,4
21,Chinagam,Anjaw,Unknown,Arunachal Pradesh,True,28.1625933,96.5530756,28.84541487295319,control (non-VVP),True,-0.1978135888368768,-0.26689322769716317,24,29,0.25468611046671863,0.18007499986224704,4,4
22,Nilang,Anjaw,Unknown,Arunachal Pradesh,True,28.1764497,96.6564414,29.208028216081967,control (non-VVP),True,-0.22639973860136414,-0.28563712974565547,24,29,0.3521188313116407,0.2753923817500138,4,4
23,Chipru,Anjaw,Unknown,Arunachal Pradesh,True,28.1503735,96.5374173,29.57533097313382,control (non-VVP),True,-0.18691997139873096,-0.20757772705761846,24,29,0.39555032574365623,0.2505337352971587,4,4
24,Warti,Anjaw,Unknown,Arunachal Pradesh,True,28.0392081,96.9729224,29.59374629385533,control (non-VVP),True,-0.1729614153835393,-0.20754669687570945,48,58,0.2727685530452369,0.2822176146084816,4,4
25,Chareimna,Anjaw,Unknown,Arunachal Pradesh,True,28.1695789,96.6589609,29.79118812160885,control (non-VVP),True,-0.21854209208870548,-0.2857751158079343,24,29,0.44652546894378703,0.2503516123210341,4,4
26,Bringkong,Anjaw,Unknown,Arunachal Pradesh,True,28.1715853,96.6504862,29.97547381977245,control (non-VVP),True,-0.2523889184694409,-0.29590701693080845,24,29,0.29605512072089524,0.26212695011981085,4,4
27,Sethi,Anjaw,Unknown,Arunachal Pradesh,True,28.055845,96.9797354,30.190500113486607,control (non-VVP),True,-0.19772263130787845,-0.19247806312501442,48,58,0.25858025028716297,0.1925505023913753,4,4
28,Baligam,Anjaw,Unknown,Arunachal Pradesh,True,28.1433091,96.5356291,30.279792081054858,control (non-VVP),True,-0.22331960218672295,-0.2607975990291073,24,29,0.31468049745856375,0.23776344533992985,4,4
29,Challang,Anjaw,Unknown,Arunachal Pradesh,True,28.1551886,96.6522501,31.561882321674908,control (non-VVP),True,-0.20571967401046184,-0.2562880036091312,24,29,0.23857986182812496,0.2352418461887855,4,4
30,Matiliang 266674,Anjaw,Unknown,Arunachal Pradesh,True,28.1076072,96.445203,31.756415094290727,control (non-VVP),True,-0.15983690936795683,-0.2186991437704493,24,29,0.3592388858894507,0.17570556150542366,4,4
31,Tololiang,Anjaw,Unknown,Arunachal Pradesh,True,28.1256641,96.547808,32.581483962495284,control (non-VVP),True,-0.22179721248127368,-0.26582353914856005,24,29,0.1534988953018557,0.20482891617100232,4,4
32,Bulimina,Anjaw,Unknown,Arunachal Pradesh,True,28.1406221,96.6583188,32.764996020317085,control (non-VVP),True,-0.2120685767412292,-0.26535621457627745,24,29,0.4152413043041957,0.22417789165821136,4,4
33,Chamemla,Anjaw,Unknown,Arunachal Pradesh,True,28.1286743,96.5620271,32.76560254020825,control (non-VVP),True,-0.22843417279970676,-0.28716176245675223,24,29,0.3944363866134414,0.1909179718765829,4,4
