village_id,village,district,block,state,is_core_sample,latitude,longitude,distance_to_border_km,village_source,district_verified
1,Upper Traflagam 266829,Anjaw,Unknown,Arunachal Pradesh,True,28.3500638,96.6336613,10.504838648105533,control (non-VVP),True
2,Tarampa,Anjaw,Unknown,Arunachal Pradesh,True,28.3416126,96.6186283,11.586133525677417,control (non-VVP),True
3,Matkrong,Anjaw,Unknown,Arunachal Pradesh,True,27.8559038,96.9824133,12.589815225144246,control (non-VVP),True
4,Abochagan,Anjaw,Unknown,Arunachal Pradesh,True,28.3136489,96.6140466,14.801871758475004,control (non-VVP),True
5,Maling,Anjaw,Unknown,Arunachal Pradesh,True,28.2834154,96.5597358,16.934334664990818,control (non-VVP),True
6,Khalega,Anjaw,Unknown,Arunachal Pradesh,True,28.2806477,96.5718641,17.79677059210524,control (non-VVP),True
7,Shirong,Anjaw,Unknown,Arunachal Pradesh,True,27.903587,96.9409105,19.462420426831876,control (non-VVP),True
8,Gai,Anjaw,Unknown,Arunachal Pradesh,True,27.9167902,96.9468696,20.235107019894407,control (non-VVP),True
9,Khampti Pani,Anjaw,Unknown,Arunachal Pradesh,True,27.9282865,96.9573301,20.606753873624825,control (non-VVP),True
10,Xiao Madengliang,Anjaw,Unknown,Arunachal Pradesh,True,28.2208547,96.5152684,21.257067452938543,control (non-VVP),True
11,Tilam,Anjaw,Unknown,Arunachal Pradesh,True,28.1432798,97.0060273,21.76251613786226,control (non-VVP),True
12,Minjong,Anjaw,Unknown,Arunachal Pradesh,True,27.9447015,96.9531849,22.21694825536442,control (non-VVP),True
13,Jiliang,Anjaw,Unknown,Arunachal Pradesh,True,28.2187403,96.536865,22.335877376893624,control (non-VVP),True
14,Tinai,Anjaw,Unknown,Arunachal Pradesh,True,28.1383669,97.0271327,22.779838176246095,control (non-VVP),True
15,Kalin,Anjaw,Unknown,Arunachal Pradesh,True,27.9654847,96.9709934,22.844731132325425,control (non-VVP),True
16,Halla,Anjaw,Unknown,Arunachal Pradesh,True,27.9655372,96.962708,23.363493438772693,control (non-VVP),True
17,Yashong Camp,Anjaw,Unknown,Arunachal Pradesh,True,27.9752592,96.9686698,23.88390429456526,control (non-VVP),True
18,Menilkrai,Anjaw,Unknown,Arunachal Pradesh,True,28.1024223,97.0047561,26.341690706125203,control (non-VVP),True
19,Sarti,Anjaw,Unknown,Arunachal Pradesh,True,28.0081411,96.9619129,27.38045906842876,control (non-VVP),True
20,Tarafliang,Anjaw,Unknown,Arunachal Pradesh,True,28.1541848,96.5174198,28.555263825251934,control (non-VVP),True
21,Chinagam,Anjaw,Unknown,Arunachal Pradesh,True,28.1625933,96.5530756,28.84541487295319,control (non-VVP),True
22,Nilang,Anjaw,Unknown,Arunachal Pradesh,True,28.1764497,96.6564414,29.208028216081967,control (non-VVP),True
23,Chipru,Anjaw,Unknown,Arunachal Pradesh,True,28.1503735,96.5374173,29.57533097313382,control (non-VVP),True
24,Warti,Anjaw,Unknown,Arunachal Pradesh,True,28.0392081,96.9729224,29.59374629385533,control (non-VVP),True
25,Chareimna,Anjaw,Unknown,Arunachal Pradesh,True,28.1695789,96.6589609,29.791188121608855,control (non-VVP),True
26,Bringkong,Anjaw,Unknown,Arunachal Pradesh,True,28.1715853,96.6504862,29.97547381977245,control (non-VVP),True
27,Sethi,Anjaw,Unknown,Arunachal Pradesh,True,28.055845,96.9797354,30.190500113486607,control (non-VVP),True
28,Baligam,Anjaw,Unknown,Arunachal Pradesh,True,28.1433091,96.5356291,30.279792081054858,control (non-VVP),True
29,Challang,Anjaw,Unknown,Arunachal Pradesh,True,28.1551886,96.6522501,31.561882321674908,control (non-VVP),True
30,Matiliang 266674,Anjaw,Unknown,Arunachal Pradesh,True,28.1076072,96.445203,31.756415094290727,control (non-VVP),True
31,Tololiang,Anjaw,Unknown,Arunachal Pradesh,True,28.1256641,96.547808,32.581483962495284,control (non-VVP),True
32,Bulimina,Anjaw,Unknown,Arunachal Pradesh,True,28.1406221,96.6583188,32.764996020317085,control (non-VVP),True
33,Chamemla,Anjaw,Unknown,Arunachal Pradesh,True,28.1286743,96.5620271,32.76560254020825,control (non-VVP),True
34,Hoiliang 266714,Anjaw,Unknown,Arunachal Pradesh,True,28.0981287,96.4478867,32.87033273690764,control (non-VVP),True
