system:index,after_image_count,before_image_count,block,district,is_core_sample,lights_after,lights_before,ndbi_after,ndbi_before,state,village,village_id,.geo,latitude,longitude,ndbi_before_image_count,ndbi_after_image_count,lights_before_image_count,lights_after_image_count
00000000000000000000,1,0,Chaglagam,Anjaw,True,0.26620288242786266,0.33869456940902576,-0.25304901605118196,-0.2139028033382926,Arunachal Pradesh,Metengliang,1,"{""type"":""Point"",""coordinates"":[96.53255485485357,28.205312420999135]}",28.2053139,96.5325529,24,29,4,4
00000000000000000001,1,0,Chaglagam,Anjaw,True,0.08976111049453418,0.28179722307456867,-0.19897929657343466,-0.2264847171958869,Arunachal Pradesh,Chipra,2,"{""type"":""Point"",""coordinates"":[96.5641119130088,28.26873421528229]}",28.2687337,96.564114,24,29,4,4
00000000000000000002,1,0,Chaglagam,Anjaw,True,0.14602925205730707,0.256412805919484,-0.26573557637726547,-0.2528194224685219,Arunachal Pradesh,Mithumna,3,"{""type"":""Point"",""coordinates"":[96.53526152919301,28.234675601436084]}",28.2346775,96.535261,24,29,4,4
00000000000000000003,1,0,Chaglagam,Anjaw,True,0.194644055976595,0.30471972346038556,-0.27502972823253913,-0.24577979238964118,Arunachal Pradesh,Pailiang,4,"{""type"":""Point"",""coordinates"":[96.50836869073967,28.196661764955458]}",28.1966606,96.5083691,24,29,4,4
00000000000000000004,1,0,Hayuliang,Anjaw,True,0.2101238782072926,0.29529278846205886,-0.26807450789745585,-0.276436327358106,Arunachal Pradesh,Glotong,5,"{""type"":""Point"",""coordinates"":[96.68503381537614,28.205165270664374]}",28.2051645,96.6850333,24,29,4,4
00000000000000000005,1,0,Hayuliang,Anjaw,True,0.5441675815500517,0.42492808846641433,-0.07634182568120132,-0.06202041065069696,Arunachal Pradesh,Hayuliang,6,"{""type"":""Point"",""coordinates"":[96.52366786645405,28.081318198005967]}",28.081317,96.5236674,24,29,4,4
00000000000000000006,1,0,Hayuliang,Anjaw,True,0.16413984514698468,0.3101637135202956,-0.2525151770868171,-0.2057175673852735,Arunachal Pradesh,Keletong,7,"{""type"":""Point"",""coordinates"":[96.61925761573677,28.12300633375464]}",28.123006,96.6192583,24,29,4,4
00000000000000000007,1,0,Hayuliang,Anjaw,True,0.27290099381213695,0.3673396015094708,-0.26635733265770883,-0.24890193995590693,Arunachal Pradesh,Kongra(Metung),8,"{""type"":""Point"",""coordinates"":[96.57358750274737,28.069586303134354]}",28.0695862,96.5735857,24,29,4,4
00000000000000000008,1,0,Hayuliang,Anjaw,True,0.22440168042196315,0.35911236659864365,-0.25670034431603683,-0.2256927385228842,Arunachal Pradesh,Zapaliang,9,"{""type"":""Point"",""coordinates"":[96.44111206955056,28.00923682947701]}",28.009235,96.4411122,24,29,4,4
00000000000000000009,2,0,Walong,Anjaw,True,0.346487244973569,0.4024028742849231,-0.2554341358901372,-0.27536009618355156,Arunachal Pradesh,Chenguinty,10,"{""type"":""Point"",""coordinates"":[96.85203160892875,27.885898094338707]}",27.8858991,96.8520327,24,29,4,4
0000000000000000000a,3,0,Walong,Anjaw,True,0.24949833806893248,0.08157705012171998,-0.27512648989373223,-0.24730506329880603,Arunachal Pradesh,Dhanbari,11,"{""type"":""Point"",""coordinates"":[96.62142473884875,28.007805458038856]}",28.0078075,96.6214266,48,58,4,4
0000000000000000000b,2,0,Walong,Anjaw,True,0.2158851202961872,0.31204494476715294,-0.16085154526434015,-0.10520938896972062,Arunachal Pradesh,Dong,12,"{""type"":""Point"",""coordinates"":[97.0389482068871,28.16791839956494]}",28.1679203,97.0389469,48,58,4,4
0000000000000000000c,2,0,Walong,Anjaw,True,0.2113621274498214,0.28296788586334537,-0.18321031344776065,-0.23814523887335876,Arunachal Pradesh,Gong,13,"{""type"":""Point"",""coordinates"":[97.00080505647593,28.17008998177797]}",28.1700892,97.0008029,48,58,4,4
0000000000000000000d,1,0,Walong,Anjaw,True,0.1934662244776687,0.2909883724758659,-0.25599709944711935,-0.17019207141465323,Arunachal Pradesh,Hot Spring,14,"{""type"":""Point"",""coordinates"":[97.16385654559622,28.292898083890925]}",28.2928975,97.1638576,24,29,4,4
0000000000000000000e,2,0,Walong,Anjaw,True,0.2180044366224378,0.1546618656529952,-0.2679511350777377,-0.25443573165161415,Arunachal Pradesh,Hunung,15,"{""type"":""Point"",""coordinates"":[96.94510196611627,27.874130526658657]}",27.8741289,96.9451026,24,29,4,4
0000000000000000000f,2,0,Walong,Anjaw,True,0.36384961443851827,0.26672839313979635,-0.19387780070942584,-0.16152737223434765,Arunachal Pradesh,Kaho,16,"{""type"":""Point"",""coordinates"":[97.02505810710562,28.303426021478103]}",28.3034238,97.0250574,48,58,4,4
00000000000000000010,2,0,Walong,Anjaw,True,0.12993909520894323,0.218662791985478,-0.262061867123321,-0.2489965067745979,Arunachal Pradesh,Khrawit,17,"{""type"":""Point"",""coordinates"":[96.94373748119392,27.904470250226307]}",27.9044705,96.9437389,24,29,4,4
00000000000000000011,2,0,Walong,Anjaw,True,0.24710437548414763,0.17631033176658667,-0.17993610026388962,-0.17405217639560328,Arunachal Pradesh,Krowti,18,"{""type"":""Point"",""coordinates"":[97.02732333044077,28.235406894008843]}",28.2354088,97.0273216,48,58,4,4
00000000000000000012,2,0,Walong,Anjaw,True,0.2530088490452123,0.22761338631070294,-0.1342129617965073,-0.1593871000360554,Arunachal Pradesh,Krowti Labour Camp,19,"{""type"":""Point"",""coordinates"":[97.02855850143258,28.231830694963985]}",28.2318311,97.0285584,48,58,4,4
00000000000000000013,2,0,Walong,Anjaw,True,0.20817052688096008,0.14102925167770577,-0.16843275660190718,-0.16880528353372484,Arunachal Pradesh,Kundan,20,"{""type"":""Point"",""coordinates"":[97.02540591698778,28.24250578288593]}",28.2425043,97.0254063,48,58,4,4
00000000000000000014,2,0,Walong,Anjaw,True,0.2612610522789501,0.2220741144950147,-0.15154657825139917,-0.13789991796408405,Arunachal Pradesh,Musai,21,"{""type"":""Point"",""coordinates"":[97.02874132457578,28.258830551842596]}",28.2588294,97.0287424,48,58,4,4
