District,Block,Habitation,LGD_Code,Households,Population,geocode_query_used,latitude,longitude,geocode_status,bhuvan_vid,bhuvan_population
Anjaw,Chaglagam,Metengliang,266838,52,197.0,"Metengliang, Anjaw, Arunachal Pradesh, India",28.2053139,96.5325529,"matched (fallback query, no block)",,
Anjaw,Chaglagam,Aphumna,266826,22,85.0,"Aphumna, Anjaw, Arunachal Pradesh, India",,,NO MATCH — Bhuvan also failed or district mismatch,,
Anjaw,Chaglagam,Chaglagam H.Q.,266837,29,192.0,"Chaglagam H.Q., Anjaw, Arunachal Pradesh, India",,,NO MATCH — Bhuvan also failed or district mismatch,,
Anjaw,Chaglagam,Chakka,266834,30,137.0,"Chakka, Anjaw, Arunachal Pradesh, India",,,NO MATCH — Bhuvan also failed or district mismatch,,
Anjaw,Chaglagam,Chipra,266831,5,35.0,"Chipra, Chaglagam, Anjaw, Arunachal Pradesh, India",28.2687337,96.564114,matched,,
Anjaw,Chaglagam,Chipuiliang,266841,10,57.0,"Chipuiliang, Anjaw, Arunachal Pradesh, India",,,NO MATCH — Bhuvan also failed or district mismatch,,
Anjaw,Chaglagam,Gomin,266850,14,60.0,"Gomin, Anjaw, Arunachal Pradesh, India",,,NO MATCH — Bhuvan also failed or district mismatch,,
Anjaw,Chaglagam,Kaey Maro,266824,3,16.0,"Kaey Maro, Anjaw, Arunachal Pradesh, India",,,NO MATCH — Bhuvan also failed or district mismatch,,
Anjaw,Chaglagam,Kalabro (Kaangbro),266857,0,,"Kalabro (Kaangbro), Anjaw, Arunachal Pradesh, India",,,NO MATCH — Bhuvan also failed or district mismatch,,
Anjaw,Chaglagam,Kalamna,266822,5,21.0,"Kalamna, Anjaw, Arunachal Pradesh, India",,,NO MATCH — Bhuvan also failed or district mismatch,,
Anjaw,Chaglagam,"Khalega, Metengliang",266821,13,53.0,"Khalega, Metengliang, Anjaw, Arunachal Pradesh, India",,,NO MATCH — Bhuvan also failed or district mismatch,,
Anjaw,Chaglagam,Khowegko,266843,5,31.0,"Khowegko, Anjaw, Arunachal Pradesh, India",,,NO MATCH — Bhuvan also failed or district mismatch,,
Anjaw,Chaglagam,Kromna,266840,31,139.0,"Kromna, Anjaw, Arunachal Pradesh, India",,,NO MATCH — Bhuvan also failed or district mismatch,,
Anjaw,Chaglagam,Mailiang,266830,20,81.0,"Mailiang, Anjaw, Arunachal Pradesh, India",,,NO MATCH — Bhuvan also failed or district mismatch,,
Anjaw,Chaglagam,Mithumna,266866,24,102.0,"Mithumna, Anjaw, Arunachal Pradesh, India",28.2346775,96.535261,"matched (fallback query, no block)",,
Anjaw,Chaglagam,Pailiang,266844,13,72.0,"Pailiang, Anjaw, Arunachal Pradesh, India",28.1966606,96.5083691,"matched (fallback query, no block)",,
Anjaw,Chaglagam,Payaparap,266847,4,30.0,"Payaparap, Anjaw, Arunachal Pradesh, India",,,NO MATCH — Bhuvan also failed or district mismatch,,
Anjaw,Chaglagam,Roiliang,266849,26,133.0,"Roiliang, Anjaw, Arunachal Pradesh, India",,,NO MATCH — Bhuvan also failed or district mismatch,,
Anjaw,Chaglagam,Tabretong,266845,10,58.0,"Tabretong, Anjaw, Arunachal Pradesh, India",,,NO MATCH — Bhuvan also failed or district mismatch,,
Anjaw,Chaglagam,Tadumna,266846,5,31.0,"Tadumna, Anjaw, Arunachal Pradesh, India",,,NO MATCH — Bhuvan also failed or district mismatch,,
Anjaw,Chaglagam,Taflagam,266828,39,148.0,"Taflagam, Anjaw, Arunachal Pradesh, India",,,NO MATCH — Bhuvan also failed or district mismatch,,
Anjaw,Chaglagam,Taimna,266842,9,56.0,"Taimna, Anjaw, Arunachal Pradesh, India",,,NO MATCH — Bhuvan also failed or district mismatch,,
Anjaw,Chaglagam,Tamkadu,266832,7,32.0,"Tamkadu, Anjaw, Arunachal Pradesh, India",,,NO MATCH — Bhuvan also failed or district mismatch,,
Anjaw,Chaglagam,Upper Taflagaon,266829,17,53.0,"Upper Taflagaon, Anjaw, Arunachal Pradesh, India",,,NO MATCH — Bhuvan also failed or district mismatch,,
Anjaw,Hayuliang,Glotong,266788,11,69.0,"Glotong, Anjaw, Arunachal Pradesh, India",28.2051645,96.6850333,"matched (fallback query, no block)",,
Anjaw,Hayuliang,Hayuliang,266712,374,1834.0,"Hayuliang, Hayuliang, Anjaw, Arunachal Pradesh, India",28.081317,96.5236674,matched,,
Anjaw,Hayuliang,Keletong,266800,3,9.0,"Keletong, Anjaw, Arunachal Pradesh, India",28.123006,96.6192583,"matched (fallback query, no block)",,
Anjaw,Hayuliang,Kongra(Metung),266690,8,28.0,"Kongra(Metung), Hayuliang, Anjaw, Arunachal Pradesh, India",28.0695862,96.5735857,matched,,
