village_id,village,district,block,state,is_core_sample,latitude,longitude,ndbi_before,ndbi_after,ndbi_before_image_count,ndbi_after_image_count,lights_before,lights_after,lights_before_image_count,lights_after_image_count
1,Metengliang,Anjaw,Chaglagam,Arunachal Pradesh,True,28.2053139,96.5325529,-0.22026343600185805,-0.26271145133404494,24,29,0.33272626490509555,0.24208356497984074,4,4
2,Chipra,Anjaw,Chaglagam,Arunachal Pradesh,True,28.2687337,96.564114,-0.2431908867734416,-0.21432573933894353,24,29,0.2990458350835576,0.1329527751811677,4,4
3,Mithumna,Anjaw,Chaglagam,Arunachal Pradesh,True,28.2346775,96.535261,-0.2359786838613119,-0.2498036657802497,24,29,0.2628469325513136,0.15062517323305039,4,4
4,Pailiang,Anjaw,Chaglagam,Arunachal Pradesh,True,28.1966606,96.5083691,-0.24692891102683817,-0.27886503620659076,24,29,0.3066761800505657,0.17516922025959472,4,4
5,Glotong,Anjaw,Hayuliang,Arunachal Pradesh,True,28.2051645,96.6850333,-0.27441725407704937,-0.27084978685251226,24,29,0.3067597492823694,0.21583496087689913,4,4
6,Hayuliang,Anjaw,Hayuliang,Arunachal Pradesh,True,28.081317,96.5236674,-0.1512942404727752,-0.14631408454458159,24,29,0.3763871095356627,0.42381074399757435,4,4
7,Keletong,Anjaw,Hayuliang,Arunachal Pradesh,True,28.123006,96.6192583,-0.2192052821734934,-0.23231095395643558,24,29,0.3051655097531675,0.16001390724731754,4,4
8,Kongra(Metung),Anjaw,Hayuliang,Arunachal Pradesh,True,28.0695862,96.5735857,-0.24588825636588743,-0.26700028614575777,24,29,0.3498603744030197,0.26812100139681777,4,4
9,Zapaliang,Anjaw,Hayuliang,Arunachal Pradesh,True,28.009235,96.4411122,-0.22189810262509238,-0.23754198757854694,48,58,0.3679343292617426,0.22759062859577234,4,4
10,Chenguinty,Anjaw,Walong,Arunachal Pradesh,True,27.8858991,96.8520327,-0.2664021861784362,-0.26543358577787446,24,29,0.3458866870242331,0.37059855234616323,4,4
11,Dhanbari,Anjaw,Walong,Arunachal Pradesh,True,28.0078075,96.6214266,-0.24351429341693365,-0.26069507998168495,48,58,0.0969290087699774,0.24207627416799787,4,4
12,Dong,Anjaw,Walong,Arunachal Pradesh,True,28.1679203,97.0389469,-0.12550052448614038,-0.1581213886546269,48,58,0.311308397508503,0.2241852013964011,4,4
13,Gong,Anjaw,Walong,Arunachal Pradesh,True,28.1700892,97.0008029,-0.22460178211350582,-0.18227872828365352,48,58,0.2836541634342737,0.19954027771949773,4,4
14,Hot Spring,Anjaw,Walong,Arunachal Pradesh,True,28.2928975,97.1638576,-0.1634707035743487,-0.2420385014647903,24,29,0.29693481481521705,0.2134687921727249,4,4
15,Hunung,Anjaw,Walong,Arunachal Pradesh,True,27.8741289,96.9451026,-0.24761511077504578,-0.2705189030925032,24,29,0.16439379244744115,0.23780275905766174,4,4
16,Kaho,Anjaw,Walong,Arunachal Pradesh,True,28.3034238,97.0250574,-0.19186765470360354,-0.2143650249947467,48,58,0.2766511283551555,0.28531241861519097,4,4
17,Khrawit,Anjaw,Walong,Arunachal Pradesh,True,27.9044705,96.9437389,-0.24533543594247786,-0.2519663640926134,24,29,0.21240472984247646,0.1476870668593468,4,4
18,Krowti,Anjaw,Walong,Arunachal Pradesh,True,28.2354088,97.0273216,-0.16347051248059172,-0.16395923261374448,48,58,0.21735441865330452,0.23108247276649865,4,4
19,Krowti Labour Camp,Anjaw,Walong,Arunachal Pradesh,True,28.2318311,97.0285584,-0.15901853168676403,-0.16154939906756796,48,58,0.23847476629766562,0.2391555725172765,4,4
20,Kundan,Anjaw,Walong,Arunachal Pradesh,True,28.2425043,97.0254063,-0.17884998933280458,-0.18649373812218847,48,58,0.16735025097554548,0.2123058768969672,4,4
21,Musai,Anjaw,Walong,Arunachal Pradesh,True,28.2588294,97.0287424,-0.15551236101217158,-0.16619052266926515,48,58,0.22297239318060036,0.24090801308822554,4,4
