village_id,village,district,block,state,is_core_sample,latitude,longitude,ndbi_before,ndbi_after,ndbi_before_image_count,ndbi_after_image_count,lights_before,lights_after,lights_before_image_count,lights_after_image_count
1,Metengliang,Anjaw,Chaglagam,Arunachal Pradesh,True,28.2053139,96.5325529,-0.2036549891092778,-0.22187703833304892,24,29,0.32571902884318765,0.2652654835740022,4,4
2,Chipra,Anjaw,Chaglagam,Arunachal Pradesh,True,28.2687337,96.564114,-0.20826399145159336,-0.18019715509707893,24,29,0.2780333334207534,0.07903333329492145,4,4
3,Mithumna,Anjaw,Chaglagam,Arunachal Pradesh,True,28.2346775,96.535261,-0.2551724693213267,-0.2689382009522774,24,29,0.23231277493390745,0.16118943110305306,4,4
4,Pailiang,Anjaw,Chaglagam,Arunachal Pradesh,True,28.1966606,96.5083691,-0.24014954982948133,-0.26554734807642716,24,29,0.31445453763008113,0.2131136398423802,4,4
5,Glotong,Anjaw,Hayuliang,Arunachal Pradesh,True,28.2051645,96.6850333,-0.28057560784920127,-0.25577690336973896,24,29,0.2779701773179781,0.20305046446006236,4,4
6,Hayuliang,Anjaw,Hayuliang,Arunachal Pradesh,True,28.081317,96.5236674,-0.07116778676063207,-0.07893607739531226,24,29,0.4320723607874753,0.5336074490557637,4,4
7,Keletong,Anjaw,Hayuliang,Arunachal Pradesh,True,28.123006,96.6192583,-0.1914619701229414,-0.24202415071250336,24,29,0.32033186808096625,0.16034292343970952,4,4
8,Kongra(Metung),Anjaw,Hayuliang,Arunachal Pradesh,True,28.0695862,96.5735857,-0.23274223911095188,-0.25570855644891444,24,29,0.3548678459049847,0.2914537438868426,4,4
9,Zapaliang,Anjaw,Hayuliang,Arunachal Pradesh,True,28.009235,96.4411122,-0.2604527420544036,-0.2901799040122929,24,29,0.3463364135010451,0.22521888715330904,4,4
10,Chenguinty,Anjaw,Walong,Arunachal Pradesh,True,27.8858991,96.8520327,-0.26762579564378564,-0.25014531458875683,24,29,0.43926209670856664,0.3251982530833341,4,4
11,Dhanbari,Anjaw,Walong,Arunachal Pradesh,True,28.0078075,96.6214266,-0.22596264381792416,-0.25360505789625415,24,29,0.043226872016942454,0.25711454024398905,4,4
