village_id,village,district,block,state,is_core_sample,latitude,longitude,distance_to_border_km,village_source,district_verified,ndbi_2019,lights_2019,ndbi_2019_image_count,lights_2019_image_count
1,Upper Traflagam 266829,Anjaw,Unknown,Arunachal Pradesh,True,28.3500638,96.6336613,10.208156031306832,control (non-VVP),True,-0.3058825883174646,0.1919925499894765,73.0,12.0
2,Tarampa,Anjaw,Unknown,Arunachal Pradesh,True,28.3416126,96.6186283,11.259931743843367,control (non-VVP),True,-0.3020734581932156,0.2213805005521049,73.0,12.0
3,Matkrong,Anjaw,Unknown,Arunachal Pradesh,True,27.8559038,96.9824133,12.21174958433055,control (non-VVP),True,-0.2970734942515513,0.1569507378549025,144.0,12.0
4,Abochagan,Anjaw,Unknown,Arunachal Pradesh,True,28.3136489,96.6140466,14.385494242096671,control (non-VVP),True,-0.1638262116170865,0.2602793149956058,73.0,12.0
5,Khalega,Anjaw,Unknown,Arunachal Pradesh,True,28.2806477,96.5718641,17.389387120162088,control (non-VVP),True,-0.2685478090692065,0.186800957877378,73.0,12.0
6,Shirong,Anjaw,Unknown,Arunachal Pradesh,True,27.903587,96.9409105,18.879751233480885,control (non-VVP),True,-0.2166660597364808,0.1699493826776575,72.0,12.0
7,Khampti Pani,Anjaw,Unknown,Arunachal Pradesh,True,27.9282865,96.9573301,20.07481274759241,control (non-VVP),True,-0.1554996084426861,0.1748753282732851,144.0,12.0
8,Xiao Madengliang,Anjaw,Unknown,Arunachal Pradesh,True,28.2208547,96.5152684,20.66721205919266,control (non-VVP),True,-0.2301996936265563,0.199606301059739,72.0,12.0
9,Tilam,Anjaw,Unknown,Arunachal Pradesh,True,28.1432798,97.0060273,21.122207787766506,control (non-VVP),True,-0.1547625517165047,0.1907393975748814,144.0,12.0
10,Minjong,Anjaw,Unknown,Arunachal Pradesh,True,27.9447015,96.9531849,21.775446122663485,control (non-VVP),True,-0.1883478691967305,0.1683949928212861,144.0,12.0
11,Jiliang,Anjaw,Unknown,Arunachal Pradesh,True,28.2187403,96.536865,21.785872271677064,control (non-VVP),True,-0.1980580064744956,0.194345573479262,72.0,12.0
12,Walang,Anjaw,Unknown,Arunachal Pradesh,True,27.882509,96.8550641,21.853357578949343,control (non-VVP),True,-0.2600635152049024,0.2115202080354807,72.0,12.0
13,Tinai,Anjaw,Unknown,Arunachal Pradesh,True,28.1383669,97.0271327,22.12939324344721,control (non-VVP),True,0.0285599932483686,0.2483567439940538,144.0,12.0
14,Kalin,Anjaw,Unknown,Arunachal Pradesh,True,27.9654847,96.9709934,22.15837709115443,control (non-VVP),True,-0.1448640098188557,0.1919230034187336,288.0,12.0
15,Halla,Anjaw,Unknown,Arunachal Pradesh,True,27.9655372,96.962708,22.66191626116016,control (non-VVP),True,-0.14886422791722,0.1850287996838855,288.0,12.0
16,Yashong Camp,Anjaw,Unknown,Arunachal Pradesh,True,27.9752592,96.9686698,23.166499666887443,control (non-VVP),True,-0.1620450651909961,0.1978704757872811,288.0,12.0
17,Kaladun,Anjaw,Unknown,Arunachal Pradesh,True,27.9839219,96.9737606,23.672719201131454,control (non-VVP),True,-0.1816956043753466,0.2187795897246482,288.0,12.0
18,Menilkrai,Anjaw,Unknown,Arunachal Pradesh,True,28.1024223,97.0047561,25.56053181319565,control (non-VVP),True,-0.0383509970172967,0.2522719534499957,144.0,12.0
19,Sarti,Anjaw,Unknown,Arunachal Pradesh,True,28.0081411,96.9619129,26.55964309895621,control (non-VVP),True,-0.1816971806201482,0.2106040268803069,288.0,12.0
20,Tarafliang,Anjaw,Unknown,Arunachal Pradesh,True,28.1541848,96.5174198,27.7622677852453,control (non-VVP),True,-0.2035038272404941,0.2615061196060914,72.0,12.0
21,Chinagam,Anjaw,Unknown,Arunachal Pradesh,True,28.1625933,96.5530756,28.042568905542584,control (non-VVP),True,-0.2951446044215221,0.1770814804732799,72.0,12.0
22,Nilang,Anjaw,Unknown,Arunachal Pradesh,True,28.1764497,96.6564414,28.486893314419977,control (non-VVP),True,-0.2763041046035223,0.179061100571813,72.0,12.0
23,Chipru,Anjaw,Unknown,Arunachal Pradesh,True,28.1503735,96.5374173,28.7529084694698,control (non-VVP),True,-0.1917072174247809,0.2132153440827289,72.0,12.0
24,Jiongming,Anjaw,Unknown,Arunachal Pradesh,True,28.0367462,96.9717952,28.828837329459443,control (non-VVP),True,-0.1573661360666638,0.1832818312926239,144.0,12.0
25,Warti,Anjaw,Unknown,Arunachal Pradesh,True,28.0392081,96.9729224,29.015113460311976,control (non-VVP),True,-0.1486538458372096,0.1807272034560063,144.0,12.0
26,Chareimna,Anjaw,Unknown,Arunachal Pradesh,True,28.1695789,96.6589609,29.05506117418188,control (non-VVP),True,-0.2219679104074515,0.1694250663088537,72.0,12.0
27,Bringkong,Anjaw,Unknown,Arunachal Pradesh,True,28.1715853,96.6504862,29.235932788914383,control (non-VVP),True,-0.2798645476116454,0.1944970323606694,72.0,12.0
28,Baligam,Anjaw,Unknown,Arunachal Pradesh,True,28.1433091,96.5356291,29.43782006027962,control (non-VVP),True,-0.2770398685802716,0.1837929754513796,72.0,12.0
29,Sethi,Anjaw,Unknown,Arunachal Pradesh,True,28.055845,96.9797354,30.465233345920453,control (non-VVP),True,-0.1414259476161686,0.2035362906628586,144.0,12.0
30,Challang,Anjaw,Unknown,Arunachal Pradesh,True,28.1551886,96.6522501,30.782237092846348,control (non-VVP),True,-0.2445437852901143,0.1668700818202895,72.0,12.0
31,Matiliang 266674,Anjaw,Unknown,Arunachal Pradesh,True,28.1076072,96.445203,30.920931427207496,control (non-VVP),True,-0.2067753533071407,0.1957240792281097,72.0,12.0
32,Tololiang,Anjaw,Unknown,Arunachal Pradesh,True,28.1256641,96.547808,31.674637251537064,control (non-VVP),True,-0.2902180546769686,0.2039146402945318,72.0,12.0
33,Chamemla,Anjaw,Unknown,Arunachal Pradesh,True,28.1286743,96.5620271,31.85281522562808,control (non-VVP),True,-0.2999958028712436,0.1923335176293871,72.0,12.0
34,Bulimina,Anjaw,Unknown,Arunachal Pradesh,True,28.1406221,96.6583188,31.954247870225128,control (non-VVP),True,-0.2352810562249541,0.1962476608361191,72.0,12.0
35,Hoiliang 266714,Anjaw,Unknown,Arunachal Pradesh,True,28.0981287,96.4478867,32.0053640309043,control (non-VVP),True,-0.1713288254120669,0.2065511794054587,72.0,12.0
36,Tuboka,Anjaw,Unknown,Arunachal Pradesh,True,28.1222299,96.5542939,32.24772241518634,control (non-VVP),True,-0.2950072082926075,0.21848467797668,72.0,12.0
37,Tikromna,Anjaw,Unknown,Arunachal Pradesh,True,28.1182382,96.5447809,32.358005180805385,control (non-VVP),True,-0.2302632678121725,0.1992028168629486,72.0,12.0
38,Adomla,Anjaw,Unknown,Arunachal Pradesh,True,28.1135364,96.5375112,32.63931418458326,control (non-VVP),True,-0.2152821332061218,0.2118465668903101,72.0,12.0
39,Tafraliang,Anjaw,Unknown,Arunachal Pradesh,True,28.0886403,96.4529695,33.153023601738646,control (non-VVP),True,-0.2044569340610592,0.2070574647274091,72.0,12.0
40,Paluliang,Anjaw,Unknown,Arunachal Pradesh,True,28.1167741,96.5706359,33.39289000170816,control (non-VVP),True,-0.2244969980360482,0.2210566634487604,72.0,12.0
41,Tikromla,Anjaw,Unknown,Arunachal Pradesh,True,28.0971168,96.5348369,34.31385251032624,control (non-VVP),True,-0.2657963899965883,0.2109762144365669,72.0,12.0
42,Champhai,Anjaw,Unknown,Arunachal Pradesh,True,28.1085212,96.57408,34.3674923444699,control (non-VVP),True,-0.2493133937513879,0.2012850739538469,72.0,12.0
43,Chirang 266667,Anjaw,Unknown,Arunachal Pradesh,True,28.0684239,96.4069505,34.51581155631747,control (non-VVP),True,-0.2675392697314325,0.1815394534836565,72.0,12.0
44,Barafu,Anjaw,Unknown,Arunachal Pradesh,True,28.1017011,96.558488,34.52797727422521,control (non-VVP),True,-0.2456250319112821,0.2119877529569086,72.0,12.0
45,Langum,Anjaw,Unknown,Arunachal Pradesh,True,28.1218659,96.6112899,34.76622900601115,control (non-VVP),True,-0.3194022710493199,0.1905188675262819,72.0,12.0
46,Khupa Village 266673,Anjaw,Unknown,Arunachal Pradesh,True,28.0771387,96.4736667,34.92083910596573,control (non-VVP),True,-0.2521293584023441,0.251506951911608,72.0,12.0
47,Hayugam,Anjaw,Unknown,Arunachal Pradesh,True,28.0893566,96.5438268,35.3843601683056,control (non-VVP),True,-0.2842039641343262,0.2413396534313725,72.0,12.0
48,Kalamdia,Anjaw,Unknown,Arunachal Pradesh,True,28.0994655,96.5765815,35.38966199183561,control (non-VVP),True,-0.25759293440985,0.1920430091384785,72.0,12.0
49,Khugam,Anjaw,Unknown,Arunachal Pradesh,True,28.0970181,96.5765587,35.64039244454056,control (non-VVP),True,-0.2480985129893348,0.1864341082895053,72.0,12.0
50,Swami Camp,Anjaw,Unknown,Arunachal Pradesh,True,28.0761921,96.5004673,35.71663701514807,control (non-VVP),True,-0.1526116191062118,0.348332403502639,72.0,12.0
51,Chameliang,Anjaw,Unknown,Arunachal Pradesh,True,28.081538,96.5395274,36.10070905223501,control (non-VVP),True,-0.1567016414104152,0.4099655102363368,72.0,12.0
52,Nenuliang,Anjaw,Unknown,Arunachal Pradesh,True,28.0695914,96.5025516,36.47740878026867,control (non-VVP),True,-0.1516611943444152,0.3332307820441718,72.0,12.0
53,Khupa Township,Anjaw,Unknown,Arunachal Pradesh,True,28.0654038,96.4926664,36.669653927690405,control (non-VVP),True,-0.1778811026690416,0.6431988051720797,72.0,12.0
54,Amliang,Anjaw,Unknown,Arunachal Pradesh,True,28.0586788,96.4688356,36.772239821896335,control (non-VVP),True,-0.1905818057098542,0.2757932928853861,72.0,12.0
55,Mompani,Anjaw,Unknown,Arunachal Pradesh,True,28.0513007,96.4415599,36.90022530314944,control (non-VVP),True,-0.2811418442296497,0.2001446834781123,72.0,12.0
56,Langjon,Anjaw,Unknown,Arunachal Pradesh,True,28.053427,96.4586965,37.07185575220221,control (non-VVP),True,-0.1881741250404105,0.2123253433700389,72.0,12.0
57,Thamptong 266699,Anjaw,Unknown,Arunachal Pradesh,True,28.0678982,96.519264,37.09174843787751,control (non-VVP),True,-0.2715539765209196,0.2496635298516634,72.0,12.0
58,Talang,Anjaw,Unknown,Arunachal Pradesh,True,28.0840788,96.5820921,37.17372787408739,control (non-VVP),True,-0.2847393036722857,0.1954545447573958,72.0,12.0
59,Mahikong,Anjaw,Unknown,Arunachal Pradesh,True,28.0544424,96.4828253,37.58834433224498,control (non-VVP),True,-0.2165791851267882,0.2666611328259506,72.0,12.0
60,Tepang,Anjaw,Unknown,Arunachal Pradesh,True,27.9688421,96.7188848,37.9259149195321,control (non-VVP),True,-0.2682380456370943,0.1919612752902922,144.0,12.0
61,Blom,Anjaw,Unknown,Arunachal Pradesh,True,28.0783604,96.5876028,37.96428159431192,control (non-VVP),True,-0.2860041067161851,0.198879278248309,72.0,12.0
62,布拉母哈岗,Anjaw,Unknown,Arunachal Pradesh,True,28.0669816,96.5559722,38.103619818542384,control (non-VVP),True,-0.0946345267630178,2.167798124429748,72.0,12.0
63,Kamba,Anjaw,Unknown,Arunachal Pradesh,True,28.0665856,96.5608784,38.29061279666109,control (non-VVP),True,-0.1647125666946421,1.1335377073872714,72.0,12.0
64,Chillang,Anjaw,Unknown,Arunachal Pradesh,True,28.0356469,96.4227016,38.30913224271945,control (non-VVP),True,-0.2891347947663045,0.1688714492147278,72.0,12.0
65,Chingraliang 266703,Anjaw,Unknown,Arunachal Pradesh,True,28.0460551,96.4835718,38.5057562974661,control (non-VVP),True,-0.2688572051328067,0.1732796891514919,72.0,12.0
66,Mele 266697,Anjaw,Unknown,Arunachal Pradesh,True,28.0533163,96.5470204,39.31156367802646,control (non-VVP),True,-0.2799587556015898,0.233993902637266,72.0,12.0
