village_id,village,district,block,state,is_core_sample,latitude,longitude,distance_to_border_km,village_source,district_verified,ndbi_before,ndbi_after,ndbi_before_image_count,ndbi_after_image_count,lights_before,lights_after,lights_before_image_count,lights_after_image_count
1,Upper Traflagam 266829,Anjaw,Unknown,Arunachal Pradesh,True,28.3500638,96.6336613,10.208156031306832,control (non-VVP),True,-0.2585418753187579,-0.27542766979080474,73,86,0.2638277470233054,0.2271135936902222,12,12
2,Tarampa,Anjaw,Unknown,Arunachal Pradesh,True,28.3416126,96.6186283,11.259931743843367,control (non-VVP),True,-0.24547126800717253,-0.2719738797979193,73,86,0.3374832192856727,0.22511092620074616,12,12
3,Matkrong,Anjaw,Unknown,Arunachal Pradesh,True,27.8559038,96.9824133,12.21174958433055,control (non-VVP),True,-0.27755734432683554,-0.30447247441355013,146,170,0.3053878821508531,0.2191845973107715,12,12
4,Abochagan,Anjaw,Unknown,Arunachal Pradesh,True,28.3136489,96.6140466,14.385494242096671,control (non-VVP),True,-0.1717211126753784,-0.1644063141622465,73,86,0.361806329228108,0.34421476195840284,12,12
5,Khalega,Anjaw,Unknown,Arunachal Pradesh,True,28.2806477,96.5718641,17.389387120162088,control (non-VVP),True,-0.2394871529351927,-0.2556815590897422,73,86,0.27329746678175515,0.36314109711194403,12,12
6,Shirong,Anjaw,Unknown,Arunachal Pradesh,True,27.903587,96.9409105,18.879751233480885,control (non-VVP),True,-0.20605587187624932,-0.24207995547734396,73,86,0.2262935886501059,0.2488901427411658,12,12
7,Khampti Pani,Anjaw,Unknown,Arunachal Pradesh,True,27.9282865,96.9573301,20.07481274759241,control (non-VVP),True,-0.1511304980950154,-0.2025281227275447,146,172,0.2569591244106486,0.29720284599555225,12,12
8,Xiao Madengliang,Anjaw,Unknown,Arunachal Pradesh,True,28.2208547,96.5152684,20.66721205919266,control (non-VVP),True,-0.23774690379978453,-0.26985025052669587,73,86,0.26881139360879486,0.254193842310471,12,12
9,Tilam,Anjaw,Unknown,Arunachal Pradesh,True,28.1432798,97.0060273,21.122207787766506,control (non-VVP),True,-0.18264399707857767,-0.24362611655352126,146,172,0.29384487182168023,0.2787481449278338,12,12
10,Minjong,Anjaw,Unknown,Arunachal Pradesh,True,27.9447015,96.9531849,21.775446122663485,control (non-VVP),True,-0.17972801531247884,-0.23526106515767242,146,172,0.2095599773719974,0.22442170992627275,12,12
11,Jiliang,Anjaw,Unknown,Arunachal Pradesh,True,28.2187403,96.536865,21.785872271677064,control (non-VVP),True,-0.21238792575177085,-0.2436884696657894,73,86,0.31880329935516216,0.29416759159660444,12,12
12,Walang,Anjaw,Unknown,Arunachal Pradesh,True,27.882509,96.8550641,21.853357578949343,control (non-VVP),True,-0.24176707051776425,-0.2614955965482408,73,86,0.3292955124338423,0.39348257725045194,12,12
13,Tinai,Anjaw,Unknown,Arunachal Pradesh,True,28.1383669,97.0271327,22.12939324344721,control (non-VVP),True,0.009016976095004021,-0.025248263369848725,146,172,0.37016761014970495,0.43768913598542797,12,12
14,Kalin,Anjaw,Unknown,Arunachal Pradesh,True,27.9654847,96.9709934,22.15837709115443,control (non-VVP),True,-0.1484571223143104,-0.17967218770207183,292,342,0.31762956926219954,0.2312472044788218,12,12
15,Halla,Anjaw,Unknown,Arunachal Pradesh,True,27.9655372,96.962708,22.66191626116016,control (non-VVP),True,-0.14960241839249452,-0.18303449806348326,292,342,0.25292641871350274,0.19611575865625938,12,12
16,Yashong Camp,Anjaw,Unknown,Arunachal Pradesh,True,27.9752592,96.9686698,23.166499666887443,control (non-VVP),True,-0.16991877977454475,-0.20539555220538463,292,342,0.24346729255634506,0.20852919241739742,12,12
17,Kaladun,Anjaw,Unknown,Arunachal Pradesh,True,27.9839219,96.9737606,23.672719201131454,control (non-VVP),True,-0.161191113086088,-0.19613828010511813,292,342,0.23223130216794724,0.21780721283819116,12,12
18,Menilkrai,Anjaw,Unknown,Arunachal Pradesh,True,28.1024223,97.0047561,25.56053181319565,control (non-VVP),True,-0.012362754239260998,-0.06977609038844293,146,172,0.3103932047279568,0.27056587665333404,12,12
19,Sarti,Anjaw,Unknown,Arunachal Pradesh,True,28.0081411,96.9619129,26.55964309895621,control (non-VVP),True,-0.16729873463973405,-0.207806632584017,292,342,0.247612781539326,0.257469235183942,12,12
20,Tarafliang,Anjaw,Unknown,Arunachal Pradesh,True,28.1541848,96.5174198,27.7622677852453,control (non-VVP),True,-0.15924188352599042,-0.21738030545276618,73,86,0.2989448694914646,0.24540646414050543,12,12
21,Chinagam,Anjaw,Unknown,Arunachal Pradesh,True,28.1625933,96.5530756,28.042568905542584,control (non-VVP),True,-0.2618213332282547,-0.28446633548059497,73,86,0.24022407102915977,0.2581648164821995,12,12
22,Nilang,Anjaw,Unknown,Arunachal Pradesh,True,28.1764497,96.6564414,28.486893314419977,control (non-VVP),True,-0.26426733379111456,-0.2944145788230608,73,86,0.28700859059533734,0.2500149508929841,12,12
23,Chipru,Anjaw,Unknown,Arunachal Pradesh,True,28.1503735,96.5374173,28.7529084694698,control (non-VVP),True,-0.1826707866187471,-0.2081988970290097,73,86,0.3044035801647511,0.3227986791129924,12,12
24,Jiongming,Anjaw,Unknown,Arunachal Pradesh,True,28.0367462,96.9717952,28.828837329459443,control (non-VVP),True,-0.15219235305162399,-0.17216413903794342,146,172,0.3130009357179149,0.34152340393387864,12,12
25,Warti,Anjaw,Unknown,Arunachal Pradesh,True,28.0392081,96.9729224,29.015113460311976,control (non-VVP),True,-0.14542953115184826,-0.16929445562211337,146,172,0.3099160182845685,0.33692690845607787,12,12
26,Chareimna,Anjaw,Unknown,Arunachal Pradesh,True,28.1695789,96.6589609,29.05506117418188,control (non-VVP),True,-0.24194370918920585,-0.28154486576666504,73,86,0.34268734037282056,0.280382057509549,12,12
27,Bringkong,Anjaw,Unknown,Arunachal Pradesh,True,28.1715853,96.6504862,29.235932788914383,control (non-VVP),True,-0.2776708204856731,-0.3030952011461355,73,86,0.2725157760631268,0.2537871205096521,12,12
28,Baligam,Anjaw,Unknown,Arunachal Pradesh,True,28.1433091,96.5356291,29.43782006027962,control (non-VVP),True,-0.2787028636253511,-0.286449369063729,73,86,0.2507436476614443,0.29955063386081043,12,12
29,Sethi,Anjaw,Unknown,Arunachal Pradesh,True,28.055845,96.9797354,30.465233345920453,control (non-VVP),True,-0.1418295077661571,-0.1736751556335083,146,172,0.32050224205460215,0.22324635111857483,12,12
30,Challang,Anjaw,Unknown,Arunachal Pradesh,True,28.1551886,96.6522501,30.782237092846348,control (non-VVP),True,-0.24775991726811306,-0.2602647839062115,73,86,0.24154199133506637,0.290434950466097,12,12
31,Matiliang 266674,Anjaw,Unknown,Arunachal Pradesh,True,28.1076072,96.445203,30.920931427207496,control (non-VVP),True,-0.16719264518712718,-0.2846255323561538,73,86,0.2959916625420252,0.2337870365712378,12,12
32,Tololiang,Anjaw,Unknown,Arunachal Pradesh,True,28.1256641,96.547808,31.674637251537064,control (non-VVP),True,-0.2949585837416594,-0.30398726750802463,73,86,0.2160375270063251,0.24398361980322975,12,12
33,Chamemla,Anjaw,Unknown,Arunachal Pradesh,True,28.1286743,96.5620271,31.85281522562808,control (non-VVP),True,-0.30309288686599545,-0.30688055325391017,73,86,0.288075706289549,0.2732784657273442,12,12
34,Bulimina,Anjaw,Unknown,Arunachal Pradesh,True,28.1406221,96.6583188,31.954247870225128,control (non-VVP),True,-0.2370720680880886,-0.255675770671333,73,86,0.301248600988677,0.2916264561758566,12,12
35,Hoiliang 266714,Anjaw,Unknown,Arunachal Pradesh,True,28.0981287,96.4478867,32.0053640309043,control (non-VVP),True,-0.19074111021200812,-0.29321238409053013,73,86,0.3059571293862061,0.2771396883773698,12,12
36,Tuboka,Anjaw,Unknown,Arunachal Pradesh,True,28.1222299,96.5542939,32.24772241518634,control (non-VVP),True,-0.2958449352183275,-0.3155073234335255,73,86,0.24893503282157287,0.25253599175847113,12,12
37,Tikromna,Anjaw,Unknown,Arunachal Pradesh,True,28.1182382,96.5447809,32.358005180805385,control (non-VVP),True,-0.2260308268413088,-0.24398387572376662,73,86,0.22400815700397347,0.2539618068495901,12,12
38,Adomla,Anjaw,Unknown,Arunachal Pradesh,True,28.1135364,96.5375112,32.63931418458326,control (non-VVP),True,-0.2064447242109888,-0.22058650036560332,73,86,0.2111176380208408,0.2583529072286565,12,12
39,Tafraliang,Anjaw,Unknown,Arunachal Pradesh,True,28.0886403,96.4529695,33.153023601738646,control (non-VVP),True,-0.21854305700440382,-0.27547056773267375,73,86,0.28824371657852593,0.3107852905724371,12,12
40,Paluliang,Anjaw,Unknown,Arunachal Pradesh,True,28.1167741,96.5706359,33.39289000170816,control (non-VVP),True,-0.23770142934132094,-0.25488404526005154,73,86,0.2386221874294883,0.28678756069437344,12,12
41,Tikromla,Anjaw,Unknown,Arunachal Pradesh,True,28.0971168,96.5348369,34.31385251032624,control (non-VVP),True,-0.26154837983980833,-0.2766144603900961,73,86,0.2881775458499921,0.2734494833193258,12,12
42,Champhai,Anjaw,Unknown,Arunachal Pradesh,True,28.1085212,96.57408,34.3674923444699,control (non-VVP),True,-0.27114397657911427,-0.2893498345883512,73,86,0.2233791597664156,0.2798213632453304,12,12
43,Chirang 266667,Anjaw,Unknown,Arunachal Pradesh,True,28.0684239,96.4069505,34.51581155631747,control (non-VVP),True,-0.2737832002906517,-0.3022348339322533,73,86,0.2308397798477549,0.25491242946447,12,12
