village_id,village,district,block,state,is_core_sample,latitude,longitude,distance_to_border_km,village_source,district_verified
1,Upper Traflagam 266829,Anjaw,Unknown,Arunachal Pradesh,True,28.3500638,96.6336613,10.208156031306832,control (non-VVP),True
2,Tarampa,Anjaw,Unknown,Arunachal Pradesh,True,28.3416126,96.6186283,11.259931743843367,control (non-VVP),True
3,Matkrong,Anjaw,Unknown,Arunachal Pradesh,True,27.8559038,96.9824133,12.21174958433055,control (non-VVP),True
4,Abochagan,Anjaw,Unknown,Arunachal Pradesh,True,28.3136489,96.6140466,14.385494242096671,control (non-VVP),True
5,Khalega,Anjaw,Unknown,Arunachal Pradesh,True,28.2806477,96.5718641,17.389387120162088,control (non-VVP),True
6,Shirong,Anjaw,Unknown,Arunachal Pradesh,True,27.903587,96.9409105,18.879751233480885,control (non-VVP),True
7,Khampti Pani,Anjaw,Unknown,Arunachal Pradesh,True,27.9282865,96.9573301,20.074812747592414,control (non-VVP),True
8,Xiao Madengliang,Anjaw,Unknown,Arunachal Pradesh,True,28.2208547,96.5152684,20.66721205919266,control (non-VVP),True
9,Tilam,Anjaw,Unknown,Arunachal Pradesh,True,28.1432798,97.0060273,21.122207787766506,control (non-VVP),True
10,Minjong,Anjaw,Unknown,Arunachal Pradesh,True,27.9447015,96.9531849,21.775446122663485,control (non-VVP),True
11,Jiliang,Anjaw,Unknown,Arunachal Pradesh,True,28.2187403,96.536865,21.785872271677064,control (non-VVP),True
12,Walang,Anjaw,Unknown,Arunachal Pradesh,True,27.882509,96.8550641,21.853357578949343,control (non-VVP),True
13,Tinai,Anjaw,Unknown,Arunachal Pradesh,True,28.1383669,97.0271327,22.12939324344721,control (non-VVP),True
14,Kalin,Anjaw,Unknown,Arunachal Pradesh,True,27.9654847,96.9709934,22.15837709115443,control (non-VVP),True
15,Halla,Anjaw,Unknown,Arunachal Pradesh,True,27.9655372,96.962708,22.66191626116016,control (non-VVP),True
16,Yashong Camp,Anjaw,Unknown,Arunachal Pradesh,True,27.9752592,96.9686698,23.166499666887443,control (non-VVP),True
17,Kaladun,Anjaw,Unknown,Arunachal Pradesh,True,27.9839219,96.9737606,23.672719201131454,control (non-VVP),True
18,Menilkrai,Anjaw,Unknown,Arunachal Pradesh,True,28.1024223,97.0047561,25.56053181319565,control (non-VVP),True
19,Sarti,Anjaw,Unknown,Arunachal Pradesh,True,28.0081411,96.9619129,26.55964309895621,control (non-VVP),True
20,Tarafliang,Anjaw,Unknown,Arunachal Pradesh,True,28.1541848,96.5174198,27.7622677852453,control (non-VVP),True
21,Chinagam,Anjaw,Unknown,Arunachal Pradesh,True,28.1625933,96.5530756,28.042568905542584,control (non-VVP),True
22,Nilang,Anjaw,Unknown,Arunachal Pradesh,True,28.1764497,96.6564414,28.486893314419977,control (non-VVP),True
23,Chipru,Anjaw,Unknown,Arunachal Pradesh,True,28.1503735,96.5374173,28.7529084694698,control (non-VVP),True
24,Jiongming,Anjaw,Unknown,Arunachal Pradesh,True,28.0367462,96.9717952,28.828837329459443,control (non-VVP),True
25,Warti,Anjaw,Unknown,Arunachal Pradesh,True,28.0392081,96.9729224,29.015113460311976,control (non-VVP),True
26,Chareimna,Anjaw,Unknown,Arunachal Pradesh,True,28.1695789,96.6589609,29.05506117418188,control (non-VVP),True
27,Bringkong,Anjaw,Unknown,Arunachal Pradesh,True,28.1715853,96.6504862,29.235932788914383,control (non-VVP),True
28,Baligam,Anjaw,Unknown,Arunachal Pradesh,True,28.1433091,96.5356291,29.43782006027962,control (non-VVP),True
29,Sethi,Anjaw,Unknown,Arunachal Pradesh,True,28.055845,96.9797354,30.465233345920453,control (non-VVP),True
30,Challang,Anjaw,Unknown,Arunachal Pradesh,True,28.1551886,96.6522501,30.782237092846348,control (non-VVP),True
31,Matiliang 266674,Anjaw,Unknown,Arunachal Pradesh,True,28.1076072,96.445203,30.920931427207496,control (non-VVP),True
32,Tololiang,Anjaw,Unknown,Arunachal Pradesh,True,28.1256641,96.547808,31.674637251537064,control (non-VVP),True
33,Chamemla,Anjaw,Unknown,Arunachal Pradesh,True,28.1286743,96.5620271,31.85281522562808,control (non-VVP),True
34,Bulimina,Anjaw,Unknown,Arunachal Pradesh,True,28.1406221,96.6583188,31.954247870225128,control (non-VVP),True
35,Hoiliang 266714,Anjaw,Unknown,Arunachal Pradesh,True,28.0981287,96.4478867,32.0053640309043,control (non-VVP),True
36,Tuboka,Anjaw,Unknown,Arunachal Pradesh,True,28.1222299,96.5542939,32.24772241518634,control (non-VVP),True
37,Tikromna,Anjaw,Unknown,Arunachal Pradesh,True,28.1182382,96.5447809,32.358005180805385,control (non-VVP),True
