district,outcome,window,n_treated,n_control,treated_change,control_change,gap
Anjaw,ndbi,full_year,25,75,-0.029388438621998594,-0.04634961469118614,0.016961176069187546
Chamoli,ndbi,full_year,8,24,0.022300266764144826,0.02996764660273389,-0.007667379838589065
Dibang Valley,ndbi,full_year,18,54,-0.025979655537097933,-0.02544517049833992,-0.0005344850387580119
East Kameng,ndbi,full_year,16,48,-0.02556375022177769,-0.007096044323343059,-0.01846770589843463
Kra daadi,ndbi,full_year,5,15,-0.020420062260457127,-0.08998282220756826,0.06956275994711113
Kurung Kumey,ndbi,full_year,70,210,-0.01440103106203124,-0.016980995694796594,0.0025799646327653546
Lower Dibang,ndbi,full_year,1,3,-0.028006691166547,-0.019961642440402733,-0.008045048726144265
North,ndbi,full_year,31,93,-0.010903591043175885,-0.015720225650293095,0.004816634607117209
Pithoragarh,ndbi,full_year,16,48,0.045205760567237574,-0.024175351784140514,0.06938111235137809
Tawang,ndbi,full_year,26,78,-0.06581550658217512,-0.03775488289812581,-0.02806062368404931
Upper Siang,ndbi,full_year,15,45,-0.005970798950018715,-0.03318924092768541,0.027218441977666694
Upper Subansiri,ndbi,full_year,8,24,-0.021734826735335736,-0.0575257242287369,0.03579089749340116
Uttarkashi,ndbi,full_year,10,30,0.05647412155296605,0.03031927782818537,0.02615484372478068
West Kameng,ndbi,full_year,2,6,-0.04885543380760224,-0.045854389442987364,-0.0030010443646148743
Anjaw,lights,full_year,25,75,0.020360239356180188,0.06685074279093448,-0.04649050343475429
Chamoli,lights,full_year,8,24,1.1833039143173485,0.045129834047975624,1.138174080269373
Dibang Valley,lights,full_year,18,54,-0.0619375958982313,0.7141152301348953,-0.7760528260331266
East Kameng,lights,full_year,16,48,-0.03231364357525625,0.1780523447188286,-0.21036598829408487
Kra daadi,lights,full_year,5,15,-0.030351975738941883,0.23402745416199966,-0.26437942990094154
Kurung Kumey,lights,full_year,70,210,-0.02212719157568518,0.015707086289265756,-0.03783427786495094
Lower Dibang,lights,full_year,1,3,0.031916119075667326,-0.057329882309010115,0.08924600138467745
North,lights,full_year,31,93,0.02010022622980189,0.11135696114656396,-0.09125673491676206
Pithoragarh,lights,full_year,16,48,0.12093447383232045,0.17020396055260142,-0.049269486720280975
Tawang,lights,full_year,26,78,0.31308792491813703,0.10111928680839426,0.21196863810974276
Upper Siang,lights,full_year,15,45,0.009111940101017917,-0.14601709264311283,0.15512903274413076
Upper Subansiri,lights,full_year,8,24,-0.025812953405685516,0.13532294223636276,-0.16113589564204828
Uttarkashi,lights,full_year,10,30,0.4185658605727335,0.08812819243150542,0.33043766814122805
West Kameng,lights,full_year,2,6,0.04665247652318533,-0.04784741859984867,0.094499895123034
