district,outcome,window,n_treated,n_control,treated_change,control_change,gap
Chamoli,ndbi,summer,8,24,0.01872214382267009,-0.014647103804062209,0.033369247626732296
Dibang Valley,ndbi,summer,17,54,-0.013024960084682272,0.008102223197694438,-0.02112718328237671
East Kameng,ndbi,summer,16,48,0.015920668166403217,-0.03528303840978456,0.05120370657618778
Kurung Kumey,ndbi,summer,64,210,0.04881502248582196,-0.0024721540633814557,0.051287176549203416
Lower Dibang,ndbi,summer,1,3,0.058114227482496006,0.04512272053392877,0.012991506948567239
Pithoragarh,ndbi,summer,16,48,0.03448705109704247,-0.008633678195705919,0.04312072929274839
Upper Siang,ndbi,summer,15,45,0.02911217531489025,0.006325668750772917,0.022786506564117334
Upper Subansiri,ndbi,summer,6,24,-0.014435076457010884,-0.019839354320240973,0.005404277863230089
Uttarkashi,ndbi,summer,10,30,0.029361605785608473,0.003861178220163518,0.025500427565444954
West Kameng,ndbi,summer,1,6,-0.16363117804991834,-0.0014483896389916734,-0.16218278841092665
Anjaw,lights,summer,25,75,0.0006306569934935135,-0.08368594356374452,0.08431660055723804
Chamoli,lights,summer,8,24,0.9182911471063484,0.013915470729003253,0.9043756763773452
Dibang Valley,lights,summer,18,54,-0.18080864031495608,0.1593579171327739,-0.34016655744772994
East Kameng,lights,summer,16,48,-0.0966072250159371,0.15899760926000703,-0.25560483427594416
Kra daadi,lights,summer,5,15,-0.04877685731668417,0.13288426949532886,-0.18166112681201302
Kurung Kumey,lights,summer,70,210,-0.06567595205016148,-0.05353831853766275,-0.012137633512498733
Lower Dibang,lights,summer,1,3,-0.11195123212168323,-0.2855032997381388,0.17355206761645559
North,lights,summer,31,93,-0.09070861253521395,0.0194574580640905,-0.11016607059930444
Pithoragarh,lights,summer,16,48,0.11328840753680636,0.08824796271237788,0.02504044482442848
Tawang,lights,summer,26,78,0.16262216723699238,0.01886910266910191,0.14375306456789047
Upper Siang,lights,summer,15,45,0.06342194847370367,0.190474754001341,-0.12705280552763734
Upper Subansiri,lights,summer,8,24,-0.13957572690992393,0.04015543326143813,-0.17973116017136206
Uttarkashi,lights,summer,10,30,0.34732144624623545,0.07051089585176061,0.27681055039447483
West Kameng,lights,summer,2,6,0.07939875272846553,0.14430325625254967,-0.06490450352408414
