village_id,village,district,block,state,is_core_sample,latitude,longitude
1,Metengliang,Anjaw,Chaglagam,Arunachal Pradesh,True,28.2053139,96.5325529
2,Chipra,Anjaw,Chaglagam,Arunachal Pradesh,True,28.2687337,96.564114
3,Mithumna,Anjaw,Chaglagam,Arunachal Pradesh,True,28.2346775,96.535261
4,Pailiang,Anjaw,Chaglagam,Arunachal Pradesh,True,28.1966606,96.5083691
5,Glotong,Anjaw,Hayuliang,Arunachal Pradesh,True,28.2051645,96.6850333
6,Hayuliang,Anjaw,Hayuliang,Arunachal Pradesh,True,28.081317,96.5236674
7,Keletong,Anjaw,Hayuliang,Arunachal Pradesh,True,28.123006,96.6192583
8,Kongra(Metung),Anjaw,Hayuliang,Arunachal Pradesh,True,28.0695862,96.5735857
9,Zapaliang,Anjaw,Hayuliang,Arunachal Pradesh,True,28.009235,96.4411122
10,Chenguinty,Anjaw,Walong,Arunachal Pradesh,True,27.8858991,96.8520327
11,Dhanbari,Anjaw,Walong,Arunachal Pradesh,True,28.0078075,96.6214266
12,Dong,Anjaw,Walong,Arunachal Pradesh,True,28.1679203,97.0389469
13,Gong,Anjaw,Walong,Arunachal Pradesh,True,28.1700892,97.0008029
14,Hot Spring,Anjaw,Walong,Arunachal Pradesh,True,28.2928975,97.1638576
15,Hunung,Anjaw,Walong,Arunachal Pradesh,True,27.8741289,96.9451026
16,Kaho,Anjaw,Walong,Arunachal Pradesh,True,28.3034238,97.0250574
17,Khrawit,Anjaw,Walong,Arunachal Pradesh,True,27.9044705,96.9437389
18,Krowti,Anjaw,Walong,Arunachal Pradesh,True,28.2354088,97.0273216
19,Krowti Labour Camp,Anjaw,Walong,Arunachal Pradesh,True,28.2318311,97.0285584
20,Kundan,Anjaw,Walong,Arunachal Pradesh,True,28.2425043,97.0254063
21,Musai,Anjaw,Walong,Arunachal Pradesh,True,28.2588294,97.0287424
22,Samdul,Anjaw,Walong,Arunachal Pradesh,True,27.8858936,96.9223997
23,Supkung,Anjaw,Walong,Arunachal Pradesh,True,28.1588813,97.0363709
24,Walong,Anjaw,Walong,Arunachal Pradesh,True,28.1294938,97.0166444
25,Yakung,Anjaw,Walong,Arunachal Pradesh,True,28.1997526,97.0263468
26,Achali,Dibang Valley,Anini-Mipi,Arunachal Pradesh,True,28.8429461,95.9704783
27,Achengo,Dibang Valley,Anini-Mipi,Arunachal Pradesh,True,28.8238506,95.9428387
28,Acheso,Dibang Valley,Anini-Mipi,Arunachal Pradesh,True,28.9263772,95.97448
29,Alinye,Dibang Valley,Anini-Mipi,Arunachal Pradesh,True,28.8346828,95.9628967
30,Angrim Valley,Dibang Valley,Anini-Mipi,Arunachal Pradesh,True,28.8842816,95.9786208
31,Aropo,Dibang Valley,Anini-Mipi,Arunachal Pradesh,True,28.8230901,95.9397069
