village_id,village,district,block,state,is_core_sample,latitude,longitude,distance_to_border_km,nearest_border_country
1,Metengliang,Anjaw,Chaglagam,Arunachal Pradesh,True,28.2053139,96.5325529,22.89712191835473,China
2,Chipra,Anjaw,Chaglagam,Arunachal Pradesh,True,28.2687337,96.564114,18.17954006500384,China
3,Mithumna,Anjaw,Chaglagam,Arunachal Pradesh,True,28.2346775,96.535261,20.15160097176978,China
4,Pailiang,Anjaw,Chaglagam,Arunachal Pradesh,True,28.1966606,96.5083691,22.99326530173686,China
5,Glotong,Anjaw,Hayuliang,Arunachal Pradesh,True,28.2051645,96.6850333,24.35938370626246,China
6,Hayuliang,Anjaw,Hayuliang,Arunachal Pradesh,True,28.081317,96.5236674,35.739665294693225,China
7,Keletong,Anjaw,Hayuliang,Arunachal Pradesh,True,28.123006,96.6192583,35.407624126341844,China
8,Kongra(Metung),Anjaw,Hayuliang,Arunachal Pradesh,True,28.0695862,96.5735857,38.37858668286336,China
9,Zapaliang,Anjaw,Hayuliang,Arunachal Pradesh,True,28.009235,96.4411122,41.478196138903876,China
10,Chenguinty,Anjaw,Walong,Arunachal Pradesh,True,27.8858991,96.8520327,22.33315432645287,Myanmar
11,Dhanbari,Anjaw,Walong,Arunachal Pradesh,True,28.0078075,96.6214266,46.46011888514591,China
12,Dong,Anjaw,Walong,Arunachal Pradesh,True,28.1679203,97.0389469,19.18503535074329,China
13,Gong,Anjaw,Walong,Arunachal Pradesh,True,28.1700892,97.0008029,18.10916986668536,China
14,Hot Spring,Anjaw,Walong,Arunachal Pradesh,True,28.2928975,97.1638576,3.0838467448271993,China
15,Hunung,Anjaw,Walong,Arunachal Pradesh,True,27.8741289,96.9451026,16.5500043491731,Myanmar
16,Kaho,Anjaw,Walong,Arunachal Pradesh,True,28.3034238,97.0250574,4.626958920606047,China
17,Khrawit,Anjaw,Walong,Arunachal Pradesh,True,27.9044705,96.9437389,18.775358881626133,Myanmar
18,Krowti,Anjaw,Walong,Arunachal Pradesh,True,28.2354088,97.0273216,11.643555220063476,China
19,Krowti Labour Camp,Anjaw,Walong,Arunachal Pradesh,True,28.2318311,97.0285584,12.057851764259023,China
20,Kundan,Anjaw,Walong,Arunachal Pradesh,True,28.2425043,97.0254063,10.835225524677528,China
21,Musai,Anjaw,Walong,Arunachal Pradesh,True,28.2588294,97.0287424,9.200620750368612,China
22,Samdul,Anjaw,Walong,Arunachal Pradesh,True,27.8858936,96.9223997,18.627708305883473,Myanmar
23,Supkung,Anjaw,Walong,Arunachal Pradesh,True,28.1588813,97.0363709,20.115483287309086,China
24,Walong,Anjaw,Walong,Arunachal Pradesh,True,28.1294938,97.0166444,22.85069517196844,China
25,Yakung,Anjaw,Walong,Arunachal Pradesh,True,28.1997526,97.0263468,15.48188370662653,China
26,Achali,Dibang Valley,Anini-Mipi,Arunachal Pradesh,True,28.8429461,95.9704783,24.48152149467409,China
27,Achengo,Dibang Valley,Anini-Mipi,Arunachal Pradesh,True,28.8238506,95.9428387,27.847908621613268,China
28,Acheso,Dibang Valley,Anini-Mipi,Arunachal Pradesh,True,28.9263772,95.97448,21.406578383238372,China
29,Alinye,Dibang Valley,Anini-Mipi,Arunachal Pradesh,True,28.8346828,95.9628967,25.556521718337063,China
30,Angrim Valley,Dibang Valley,Anini-Mipi,Arunachal Pradesh,True,28.8842816,95.9786208,22.051438280615148,China
31,Aropo,Dibang Valley,Anini-Mipi,Arunachal Pradesh,True,28.8230901,95.9397069,28.157602660797206,China
32,Atoto,Dibang Valley,Anini-Mipi,Arunachal Pradesh,True,28.8355826,95.9647411,25.350806696095102,China
33,Echito,Dibang Valley,Anini-Mipi,Arunachal Pradesh,True,28.9291593,95.9752771,21.26274854163403,China
34,Ediya,Dibang Valley,Anini-Mipi,Arunachal Pradesh,True,28.9638191,95.8076515,29.547853676594002,China
35,Emuli,Dibang Valley,Anini-Mipi,Arunachal Pradesh,True,28.8871158,95.8356573,38.476805960132026,China
36,Gipulin,Dibang Valley,Anini-Mipi,Arunachal Pradesh,True,28.8479222,95.9666253,24.581511913195623,China
37,Kamuyi,Dibang Valley,Anini-Mipi,Arunachal Pradesh,True,28.9926912,95.8050502,26.427041510961406,China
38,Mipi H.Q.,Dibang Valley,Anini-Mipi,Arunachal Pradesh,True,28.9641685,95.8081308,29.524848984578973,China
39,Mipido,Dibang Valley,Anini-Mipi,Arunachal Pradesh,True,28.950424,95.8144355,31.162636613890268,China
40,Etalin Bridge Point,Dibang Valley,Etalin-Malinye,Arunachal Pradesh,True,28.6094048,95.8703668,48.563515790188085,China
41,Maliney,Dibang Valley,Etalin-Malinye,Arunachal Pradesh,True,28.6750197,96.1532235,27.762988233536802,China
42,Mawali,Dibang Valley,Etalin-Malinye,Arunachal Pradesh,True,28.6599698,96.0170217,35.69139855759647,China
43,Punli,Dibang Valley,Etalin-Malinye,Arunachal Pradesh,True,28.6565904,95.8520788,46.013804315907166,China
44,Lengdi/Liang,East Kameng,Bameng,Arunachal Pradesh,True,27.5376292,92.923885,47.62304043257232,China
45,Upper Liyak,East Kameng,Bameng,Arunachal Pradesh,True,27.5337804,92.8465101,44.722834100453134,China
