village_id,village,district,block,state,is_core_sample,latitude,longitude,ndbi_2021,ndbi_n_2021,lights_2021,lights_n_2021,ndbi_2023,ndbi_n_2023,lights_2023,lights_n_2023,ndbi_2025,ndbi_n_2025,lights_2025,lights_n_2025,ndbi_slope,ndbi_trend_r2,lights_slope,lights_trend_r2
1,Metengliang,Anjaw,Chaglagam,Arunachal Pradesh,True,28.2053139,96.5325529,-0.2192817476868378,73,0.3170851837769316,12,-0.2730086211194792,73,0.3766297113208179,12,-0.2599133636057251,86,0.3986982544285231,12,-0.01015790397972182,0.5258859839402139,0.020403267662897864,0.9343301856553792
2,Chipra,Anjaw,Chaglagam,Arunachal Pradesh,True,28.2687337,96.564114,-0.2419489426544112,73,0.284324996901883,12,-0.2871417528826063,73,0.2995092649261157,12,-0.2176519541516004,86,0.2225777780181832,12,0.006074247125702696,0.11867689575832999,-0.015436804720924948,0.5741046840212592
3,Mithumna,Anjaw,Chaglagam,Arunachal Pradesh,True,28.2346775,96.535261,-0.2568004556053539,73,0.2618782229014316,12,-0.3069585576709314,73,0.2683425314773787,12,-0.3063879310619479,86,0.2121661157731715,12,-0.012396868864148494,0.7413705238621965,-0.012428026782065026,0.6539116305868755
4,Pailiang,Anjaw,Chaglagam,Arunachal Pradesh,True,28.1966606,96.5083691,-0.2591438869121826,73,0.2794422734478664,12,-0.2952336482425923,73,0.2371907725997035,12,-0.2888209744169678,86,0.2566918938717232,12,-0.007419271876196301,0.5939310136497834,-0.005687594894035794,0.2893594771120191
5,Glotong,Anjaw,Hayuliang,Arunachal Pradesh,True,28.2051645,96.6850333,-0.2436199370750453,73,0.2745833312001851,12,-0.2744138768241188,73,0.266692942092279,12,-0.2745202431246333,86,0.2716788632442821,12,-0.007725076512396996,0.7525816500571727,-0.0007261169889757474,0.1324272791805372
6,Hayuliang,Anjaw,Hayuliang,Arunachal Pradesh,True,28.081317,96.5236674,-0.0379287354912378,73,0.6249926276834665,12,-0.1304159656318037,73,0.6539988833916399,12,-0.0992926247746324,86,0.9576133833126684,12,-0.01534097232084865,0.4250645420612851,0.08315518890730048,0.8148634957645925
7,Keletong,Anjaw,Hayuliang,Arunachal Pradesh,True,28.123006,96.6192583,-0.2675843627491132,73,0.2533564568227456,12,-0.297639065494361,73,0.2661903371226112,12,-0.2646981649887231,86,0.2333758770757986,12,0.0007215494400975159,0.006257871610693517,-0.004995144936736751,0.3649830832869269
8,Kongra(Metung),Anjaw,Hayuliang,Arunachal Pradesh,True,28.0695862,96.5735857,-0.2803644017726042,73,0.3531148599510171,12,-0.314910631013049,73,0.3588753692739833,12,-0.307349872610687,86,0.3544985289660702,12,-0.006746367709520708,0.5520067448814377,0.0003459172537632754,0.052931964736656165
9,Zapaliang,Anjaw,Hayuliang,Arunachal Pradesh,True,28.009235,96.4411122,-0.2368566112221788,73,0.2799887616312905,12,-0.2811589740201522,73,0.2668998042184315,12,-0.254116790358121,86,0.262162920966577,12,-0.004315044783985554,0.1493605222593071,-0.004456460166178372,0.9318137943597551
10,Chenguinty,Anjaw,Walong,Arunachal Pradesh,True,27.8858991,96.8520327,-0.2174947554594247,73,0.3280410668693821,12,-0.2598516343158006,73,0.3571540838341072,12,-0.2415572572240856,86,0.3123964142719992,12,-0.006015625441165225,0.32074307563377463,-0.0039111631493457255,0.11859932336787005
11,Dhanbari,Anjaw,Walong,Arunachal Pradesh,True,28.0078075,96.6214266,-0.2586935255251883,146,0.2029231366125284,12,-0.3129695588501152,146,0.3334746831272235,12,-0.2915504854138674,172,0.273708425478766,12,-0.008214239972169773,0.3611243292031715,0.017696322216559403,0.29328638080128844
12,Dong,Anjaw,Walong,Arunachal Pradesh,True,28.1679203,97.0389469,-0.0642512003776789,146,0.3086071012419681,12,-0.1359090579159672,146,0.3863429524062344,12,-0.1084962869656483,172,0.4046781368379984,12,-0.01106127164699235,0.37435815882796397,0.024017758899007577,0.8869719290183464
13,Gong,Anjaw,Walong,Arunachal Pradesh,True,28.1700892,97.0008029,-0.2578649335593772,146,0.2896354753247659,12,-0.2734735462139832,146,0.352530455800518,12,-0.3012611974596226,172,0.2745607231278488,12,-0.010849065975061356,0.974417375580916,-0.0037686880492292796,0.033215949010594804
14,Hot Spring,Anjaw,Walong,Arunachal Pradesh,True,28.2928975,97.1638576,-0.1133009487030534,73,0.2483259508116037,12,-0.2379756234193516,73,0.3496963860650659,12,-0.1819404270058116,87,0.3103442304290146,12,-0.017159869575689546,0.30207471910973144,0.015504569904352727,0.3681619038259067
15,Hunung,Anjaw,Walong,Arunachal Pradesh,True,27.8741289,96.9451026,-0.2348866773803994,73,0.2522468614307316,12,-0.2853354299881589,73,0.3094927941814494,12,-0.2736027036300864,86,0.2640631996640345,12,-0.009679006562421745,0.5376797197105263,0.002954084558325728,0.03821477441349884
16,Kaho,Anjaw,Walong,Arunachal Pradesh,True,28.3034238,97.0250574,-0.0617886844669528,146,0.5142115603392372,12,-0.1596679161211756,146,0.4318995528951638,12,-0.1217127549160292,174,0.9338159155765364,12,-0.014981017612269101,0.3686287356255713,0.1049010888093248,0.6074611950704853
17,Khrawit,Anjaw,Walong,Arunachal Pradesh,True,27.9044705,96.9437389,-0.210734883535828,73,0.224190661826007,12,-0.2702892479682802,73,0.3064138060920394,12,-0.2533700834537589,86,0.234538579700001,12,-0.01065879997948272,0.48252796257843594,0.0025869794684985,0.01334736047790935
18,Krowti,Anjaw,Walong,Arunachal Pradesh,True,28.2354088,97.0273216,-0.0921450987713992,146,0.4187981717781854,12,-0.1945900018454135,146,0.5934287332056883,12,-0.1103229021198125,172,0.3186606796569161,12,-0.004544450837103323,0.027649199208020968,-0.02503437303031733,0.12964288852686348
19,Krowti Labour Camp,Anjaw,Walong,Arunachal Pradesh,True,28.2318311,97.0285584,-0.100249564496242,146,1.5644773170681652,12,-0.1788159766564744,146,0.626239856325947,12,-0.0865042641547747,172,0.3408812645460124,12,0.0034363250853668248,0.0190417693189016,-0.3058990131305382,0.9133251219423238
20,Kundan,Anjaw,Walong,Arunachal Pradesh,True,28.2425043,97.0254063,-0.0682408844163363,146,0.2797277482600665,12,-0.1815453439686309,146,0.4729240240311254,12,-0.0992167876817475,172,0.2727115530907187,12,-0.0077439758163528015,0.06995052306788527,-0.001754048792336954,0.0009532841034281749
21,Musai,Anjaw,Walong,Arunachal Pradesh,True,28.2588294,97.0287424,0.0236004665849274,146,0.3174935438859779,12,-0.123421099615316,146,0.3795870182524739,12,-0.0474047436180888,172,0.328359152198629,12,-0.01775130255075405,0.23315793342794214,0.0027164020781627746,0.026840461770023246
22,Samdul,Anjaw,Walong,Arunachal Pradesh,True,27.8858936,96.9223997,-0.0310304623682509,73,0.3090242248991882,12,-0.135541400158871,73,0.3390492084420614,12,-0.0533933749232497,86,0.2729384021773587,12,-0.005590728138749701,0.041282951434600534,-0.009021455680457369,0.2971072952939944
23,Supkung,Anjaw,Walong,Arunachal Pradesh,True,28.1588813,97.0363709,-0.072836724755691,146,0.3111794088303977,12,-0.1316946924608703,146,0.4270256567304977,12,-0.1042421439833026,172,0.4251301207745723,12,-0.0078513548069029,0.2842799361019267,0.02848767798604365,0.7375273695539879
24,Walong,Anjaw,Walong,Arunachal Pradesh,True,28.1294938,97.0166444,-0.0182233527211217,146,0.892017216052649,12,-0.1097318251953247,146,1.31481318799293,12,-0.0626914994065831,172,1.8005391933544888,12,-0.011117036671365349,0.23608102627166022,0.2271304943254599,0.9984032762222423
25,Yakung,Anjaw,Walong,Arunachal Pradesh,True,28.1997526,97.0263468,-0.0679186761883989,146,0.3163302028798952,12,-0.157389954151432,146,0.404670901167973,12,-0.0730936811609186,172,0.278146195728167,12,-0.0012937512431299251,0.0026536975220636905,-0.009546001787932051,0.08654435337029043
26,Achali,Dibang Valley,Anini-Mipi,Arunachal Pradesh,True,28.8429461,95.9704783,-0.155535882299167,592,0.3113683784168038,12,-0.2227337967982044,584,0.4657578235637955,12,-0.1692644955456413,684,0.307754472364782,12,-0.003432153311618571,0.03738096071985128,-0.0009034765130054578,0.0004013272238541757
27,Achengo,Dibang Valley,Anini-Mipi,Arunachal Pradesh,True,28.8238506,95.9428387,-0.0781540844550471,588,0.3116750666101996,12,-0.1905274699856522,584,0.3116704060676249,12,-0.1196613084266903,684,0.2947107102943027,12,-0.010376805992910802,0.13339815464102397,-0.004241089078974233,0.7502060441670788
28,Acheso,Dibang Valley,Anini-Mipi,Arunachal Pradesh,True,28.9263772,95.97448,-0.1296627846377402,294,0.2926699500204178,12,-0.2377830852739377,292,0.4181341344261901,12,-0.1441869274205412,342,0.2380957592017295,12,-0.003631035695700252,0.01531499742306938,-0.01364354770467207,0.08736973623295193
29,Alinye,Dibang Valley,Anini-Mipi,Arunachal Pradesh,True,28.8346828,95.9628967,-0.0858370623625427,589,0.3429258617739015,12,-0.1846872714482872,584,0.3763493395206945,12,-0.1304589411827297,684,0.3518037108034225,12,-0.011155469705046748,0.20313065188651228,0.0022194622573802475,0.0657373991132935
30,Angrim Valley,Dibang Valley,Anini-Mipi,Arunachal Pradesh,True,28.8842816,95.9786208,-0.1405376903216842,592,0.3290117367593894,12,-0.2585134968624766,584,0.3292491761240104,12,-0.1547818799827842,684,0.2416254077086223,12,-0.0035610474152749996,0.012231826414738052,-0.021846582262691774,0.7479621730966973
31,Aropo,Dibang Valley,Anini-Mipi,Arunachal Pradesh,True,28.8230901,95.9397069,-0.0881457958503064,588,0.3020067862158168,12,-0.2041086309029976,584,0.2957434904063889,12,-0.1319817923389148,684,0.2771213734963021,12,-0.010958999122152101,0.14011745740732673,-0.006221353179878666,0.9240320873612503
32,Atoto,Dibang Valley,Anini-Mipi,Arunachal Pradesh,True,28.8355826,95.9647411,-0.0907603269793664,589,0.3378266507307511,12,-0.191785763935172,584,0.3773236866451318,12,-0.1376303983542441,684,0.351943202731604,12,-0.011717517843719424,0.21487088788408956,0.0035291380002132333,0.12436875608273214
33,Echito,Dibang Valley,Anini-Mipi,Arunachal Pradesh,True,28.9291593,95.9752771,-0.1242424436999395,294,0.2791986801098259,12,-0.2295591179512478,292,0.4326500152978885,12,-0.1329759780787308,342,0.2397081958115689,12,-0.0021833835946978228,0.005582110297408681,-0.009872621074564249,0.03752802131918872
