village_id,village,district,block,state,is_core_sample,latitude,longitude,ndbi_2021,ndbi_n_2021,lights_2021,lights_n_2021,ndbi_2023,ndbi_n_2023,lights_2023,lights_n_2023,ndbi_2025,ndbi_n_2025,lights_2025,lights_n_2025,ndbi_slope,ndbi_trend_r2,lights_slope,lights_trend_r2
1,Metengliang,Anjaw,Chaglagam,Arunachal Pradesh,True,28.2053139,96.5325529,-0.2139028033382926,24,0.3386945694090257,4,-0.2643497400265926,24,0.2192599714430102,4,-0.2530490160511819,29,0.2662028824278626,4,-0.00978655317822233,0.5466408743882162,-0.018122921745290774,0.36286223977193816
2,Chipra,Anjaw,Chaglagam,Arunachal Pradesh,True,28.2687337,96.564114,-0.2264847171958869,24,0.2817972230745686,4,-0.2590298213744478,24,0.1682722203516298,4,-0.1989792965734346,29,0.0897611104945341,4,0.006876355155613072,0.20930738297463197,-0.048009028145008625,0.9890400740618496
3,Mithumna,Anjaw,Chaglagam,Arunachal Pradesh,True,28.2346775,96.535261,-0.2528194224685219,24,0.256412805919484,4,-0.2860684063002229,24,0.1127980129246416,4,-0.2657355763772654,29,0.146029252057307,4,-0.0032290384771858772,0.1484449958869911,-0.027595888465544255,0.5389150466099074
4,Pailiang,Anjaw,Chaglagam,Arunachal Pradesh,True,28.1966606,96.5083691,-0.2457797923896411,24,0.3047197234603855,4,-0.3026469068814077,24,0.1031754473767205,4,-0.2750297282325391,29,0.194644055976595,4,-0.007312483960724495,0.2644893128570654,-0.02751891687094762,0.29744698723259605
5,Glotong,Anjaw,Hayuliang,Arunachal Pradesh,True,28.2051645,96.6850333,-0.276436327358106,24,0.2952927884620588,4,-0.2686103495065006,24,0.1311936919065611,4,-0.2680745078974558,29,0.2101238782072926,4,0.002090454865162558,0.7978514983008759,-0.02129222756369155,0.26924063883310984
6,Hayuliang,Anjaw,Hayuliang,Arunachal Pradesh,True,28.081317,96.5236674,-0.0620204106506969,24,0.4249280884664143,4,-0.2376481341841098,24,0.4639131731757548,4,-0.0763418256812013,29,0.5441675815500517,4,-0.003580353757626102,0.005390832224628703,0.02980987327090936,0.9616037037631842
7,Keletong,Anjaw,Hayuliang,Arunachal Pradesh,True,28.123006,96.6192583,-0.2057175673852735,24,0.3101637135202956,4,-0.2749150570344958,24,0.1633740260320551,4,-0.2525151770868171,29,0.1641398451469846,4,-0.011699402425385898,0.4391706600074051,-0.03650596709332775,0.7460667483487123
8,Kongra(Metung),Anjaw,Hayuliang,Arunachal Pradesh,True,28.0695862,96.5735857,-0.2489019399559069,24,0.3673396015094708,4,-0.2859457989634528,24,0.2570768745072119,4,-0.2663573326577088,29,0.2729009938121369,4,-0.00436384817545047,0.2217926072942051,-0.023609651924333477,0.6272811295254389
9,Zapaliang,Anjaw,Hayuliang,Arunachal Pradesh,True,28.009235,96.4411122,-0.2256927385228842,24,0.3591123665986436,4,-0.3154854724383876,24,0.1612696689836095,4,-0.2567003443160368,29,0.2244016804219631,4,-0.007751901448288141,0.11556243721470637,-0.033677671544170125,0.4442389383897343
10,Chenguinty,Anjaw,Walong,Arunachal Pradesh,True,27.8858991,96.8520327,-0.2753600961835515,24,0.4024028742849231,4,-0.2603617623363168,24,0.329639286431303,4,-0.2554341358901372,29,0.346487244973569,4,0.004981490073353578,0.9215356600845905,-0.013978907327838533,0.5387550588284394
