village_id,village,district,block,state,is_core_sample,latitude,longitude,ndbi_2021,ndbi_n_2021,lights_2021,lights_n_2021,ndbi_2023,ndbi_n_2023,lights_2023,lights_n_2023,ndbi_2025,ndbi_n_2025,lights_2025,lights_n_2025
1,Metengliang,Anjaw,Chaglagam,Arunachal Pradesh,True,28.2053139,96.5325529,-0.2139028033382926,24,0.33869456940902576,4,-0.2643497400265926,24,0.21925997144301027,4,-0.25304901605118196,29,0.26620288242786266,4
2,Chipra,Anjaw,Chaglagam,Arunachal Pradesh,True,28.2687337,96.564114,-0.2264847171958869,24,0.28179722307456867,4,-0.2590298213744478,24,0.1682722203516298,4,-0.19897929657343466,29,0.08976111049453418,4
3,Mithumna,Anjaw,Chaglagam,Arunachal Pradesh,True,28.2346775,96.535261,-0.2528194224685219,24,0.256412805919484,4,-0.28606840630022295,24,0.11279801292464169,4,-0.26573557637726547,29,0.14602925205730707,4
4,Pailiang,Anjaw,Chaglagam,Arunachal Pradesh,True,28.1966606,96.5083691,-0.24577979238964118,24,0.30471972346038556,4,-0.3026469068814077,24,0.10317544737672055,4,-0.27502972823253913,29,0.194644055976595,4
5,Glotong,Anjaw,Hayuliang,Arunachal Pradesh,True,28.2051645,96.6850333,-0.276436327358106,24,0.29529278846205886,4,-0.2686103495065006,24,0.13119369190656116,4,-0.26807450789745585,29,0.2101238782072926,4
6,Hayuliang,Anjaw,Hayuliang,Arunachal Pradesh,True,28.081317,96.5236674,-0.06202041065069696,24,0.42492808846641433,4,-0.2376481341841098,24,0.4639131731757548,4,-0.07634182568120132,29,0.5441675815500517,4
7,Keletong,Anjaw,Hayuliang,Arunachal Pradesh,True,28.123006,96.6192583,-0.2057175673852735,24,0.3101637135202956,4,-0.27491505703449587,24,0.16337402603205514,4,-0.2525151770868171,29,0.16413984514698468,4
8,Kongra(Metung),Anjaw,Hayuliang,Arunachal Pradesh,True,28.0695862,96.5735857,-0.24890193995590693,24,0.3673396015094708,4,-0.2859457989634528,24,0.25707687450721195,4,-0.26635733265770883,29,0.27290099381213695,4
9,Zapaliang,Anjaw,Hayuliang,Arunachal Pradesh,True,28.009235,96.4411122,-0.2256927385228842,24,0.35911236659864365,4,-0.31548547243838765,24,0.1612696689836095,4,-0.25670034431603683,29,0.22440168042196315,4
10,Chenguinty,Anjaw,Walong,Arunachal Pradesh,True,27.8858991,96.8520327,-0.27536009618355156,24,0.4024028742849231,4,-0.2603617623363168,24,0.329639286431303,4,-0.2554341358901372,29,0.346487244973569,4
11,Dhanbari,Anjaw,Walong,Arunachal Pradesh,True,28.0078075,96.6214266,-0.24730506329880603,48,0.08157705012171998,4,-0.28764172312260006,48,0.24892738701036396,4,-0.27512648989373223,58,0.24949833806893248,4
12,Dong,Anjaw,Walong,Arunachal Pradesh,True,28.1679203,97.0389469,-0.10520938896972062,48,0.31204494476715294,4,-0.1754331588894567,48,0.2466620456894547,4,-0.16085154526434015,58,0.2158851202961872,4
13,Gong,Anjaw,Walong,Arunachal Pradesh,True,28.1700892,97.0008029,-0.23814523887335876,48,0.28296788586334537,4,-0.23989045899332234,48,0.32598006471182955,4,-0.18321031344776065,58,0.2113621274498214,4
14,Hot Spring,Anjaw,Walong,Arunachal Pradesh,True,28.2928975,97.1638576,-0.17019207141465323,24,0.2909883724758659,4,-0.25317812859708566,24,0.3121400899269256,4,-0.25599709944711935,29,0.1934662244776687,4
15,Hunung,Anjaw,Walong,Arunachal Pradesh,True,27.8741289,96.9451026,-0.25443573165161415,24,0.1546618656529952,4,-0.28176583684878675,24,0.23830099844119768,4,-0.2679511350777377,29,0.2180044366224378,4
16,Kaho,Anjaw,Walong,Arunachal Pradesh,True,28.3034238,97.0250574,-0.16152737223434765,48,0.26672839313979635,4,-0.1732874652775012,48,0.41345398357152663,4,-0.19387780070942584,58,0.36384961443851827,4
17,Khrawit,Anjaw,Walong,Arunachal Pradesh,True,27.9044705,96.9437389,-0.2489965067745979,24,0.218662791985478,4,-0.2772627603612657,24,0.23300941527747895,4,-0.262061867123321,29,0.12993909520894323,4
18,Krowti,Anjaw,Walong,Arunachal Pradesh,True,28.2354088,97.0273216,-0.17405217639560328,48,0.17631033176658667,4,-0.29155403174953715,48,0.4198597124730698,4,-0.17993610026388962,58,0.24710437548414763,4
19,Krowti Labour Camp,Anjaw,Walong,Arunachal Pradesh,True,28.2318311,97.0285584,-0.1593871000360554,48,0.22761338631070294,4,-0.28973659205701563,48,0.48440542167662526,4,-0.1342129617965073,58,0.2530088490452123,4
20,Kundan,Anjaw,Walong,Arunachal Pradesh,True,28.2425043,97.0254063,-0.16880528353372484,48,0.14102925167770577,4,-0.31168970030275983,48,0.33262141233116854,4,-0.16843275660190718,58,0.20817052688096008,4
21,Musai,Anjaw,Walong,Arunachal Pradesh,True,28.2588294,97.0287424,-0.13789991796408405,48,0.2220741144950147,4,-0.23420449743150912,48,0.29138550904076704,4,-0.15154657825139917,58,0.2612610522789501,4
22,Samdul,Anjaw,Walong,Arunachal Pradesh,True,27.8858936,96.9223997,-0.16390465246122865,24,0.27147613015939603,4,-0.1686688626450289,24,0.2721392897998585,4,-0.1299642596969927,29,0.26601276554159003,4
23,Supkung,Anjaw,Walong,Arunachal Pradesh,True,28.1588813,97.0363709,-0.15289965393061986,48,0.29251660502300186,4,-0.14612523285981366,48,0.3875138394262308,4,-0.16700696021957548,58,0.26678293214023846,4
24,Walong,Anjaw,Walong,Arunachal Pradesh,True,28.1294938,97.0166444,-0.12490486356632523,48,0.7029051149592679,4,-0.12289046345956474,48,1.1753468164196288,4,-0.13820532087041595,58,1.4988207511446716,4
25,Yakung,Anjaw,Walong,Arunachal Pradesh,True,28.1997526,97.0263468,-0.17589350258119896,48,0.27991703785626243,4,-0.22089005129379258,48,0.3970824041923064,4,-0.19198612592071415,58,0.23605364226464157,4
26,Achali,Dibang Valley,Anini-Mipi,Arunachal Pradesh,True,28.8429461,95.9704783,-0.22337148230831838,196,0.38717002483288976,4,-0.26685577708639774,196,0.46378076079841163,4,-0.23778304734996014,236,0.31703859239283283,4
27,Achengo,Dibang Valley,Anini-Mipi,Arunachal Pradesh,True,28.8238506,95.9428387,-0.17840400337630968,196,0.3700559866455074,4,-0.23868915476389288,196,0.12131578999197096,4,-0.1816443277240884,236,0.2436506136634449,4
28,Acheso,Dibang Valley,Anini-Mipi,Arunachal Pradesh,True,28.9263772,95.97448,-0.22443246542477732,98,0.33743968537371416,4,-0.2552227852964447,98,0.4139172108026973,4,-0.2412131895166576,118,0.05107730301913985,4
29,Alinye,Dibang Valley,Anini-Mipi,Arunachal Pradesh,True,28.8346828,95.9628967,-0.173890619395903,196,0.45268764200457945,4,-0.24613472750505713,196,0.2918460254144195,4,-0.1933090253068009,236,0.2530849874841983,4
30,Angrim Valley,Dibang Valley,Anini-Mipi,Arunachal Pradesh,True,28.8842816,95.9786208,-0.21293600832018156,196,0.39318481284399637,4,-0.24960840159017697,196,0.31974972091098824,4,-0.2481724525781447,236,0.11742574262573119,4
31,Aropo,Dibang Valley,Anini-Mipi,Arunachal Pradesh,True,28.8230901,95.9397069,-0.19348439567362308,196,0.3317574196883423,4,-0.22884074195559434,196,0.10503025131650491,4,-0.1969255593727831,236,0.24949394938575947,4
32,Atoto,Dibang Valley,Anini-Mipi,Arunachal Pradesh,True,28.8355826,95.9647411,-0.1776420907663261,196,0.4333713850159953,4,-0.24940804428233745,196,0.29458797459214725,4,-0.19981945942350737,236,0.25771714076565744,4
33,Echito,Dibang Valley,Anini-Mipi,Arunachal Pradesh,True,28.9291593,95.9752771,-0.2167368926389498,98,0.3341355593353673,4,-0.2455071491492671,98,0.44693468473483644,4,-0.24696713114549504,118,0.008375411679401878,4
34,Ediya,Dibang Valley,Anini-Mipi,Arunachal Pradesh,True,28.9638191,95.8076515,-0.2314414013742089,49,0.3849752221404193,4,-0.23317645068330872,49,0.10321585689609794,4,-0.18386426581104204,59,0.27783865434023247,4
35,Emuli,Dibang Valley,Anini-Mipi,Arunachal Pradesh,True,28.8871158,95.8356573,-0.2633620627673708,98,0.364636161985839,4,-0.2266422448030036,98,0.1113506045270518,4,-0.23080677614311365,118,0.1670424492317103,4
36,Gipulin,Dibang Valley,Anini-Mipi,Arunachal Pradesh,True,28.8479222,95.9666253,-0.199535195552756,196,0.4016462813097325,4,-0.253313261481078,196,0.49360678266232483,4,-0.22584758073529354,236,0.27317296770775285,4
