village_id,village,district,block,state,is_core_sample,latitude,longitude,building_count,building_total_area_m2,building_mean_confidence
1,Metengliang,Anjaw,Chaglagam,Arunachal Pradesh,True,28.2053139,96.5325529,130,12543.532001495361,0.8252000029270465
2,Chipra,Anjaw,Chaglagam,Arunachal Pradesh,True,28.2687337,96.564114,28,2437.969985961914,0.8404285737446376
3,Mithumna,Anjaw,Chaglagam,Arunachal Pradesh,True,28.2346775,96.535261,14,1490.2015953063965,0.8266142862183707
4,Pailiang,Anjaw,Chaglagam,Arunachal Pradesh,True,28.1966606,96.5083691,2,310.47021484375,0.8082000017166138
5,Glotong,Anjaw,Hayuliang,Arunachal Pradesh,True,28.2051645,96.6850333,12,1094.7893905639648,0.8024999896685282
6,Hayuliang,Anjaw,Hayuliang,Arunachal Pradesh,True,28.081317,96.5236674,692,85552.41181278229,0.8211736973655017
7,Keletong,Anjaw,Hayuliang,Arunachal Pradesh,True,28.123006,96.6192583,0,0.0,
8,Kongra(Metung),Anjaw,Hayuliang,Arunachal Pradesh,True,28.0695862,96.5735857,10,1371.0715980529785,0.8062000036239624
9,Zapaliang,Anjaw,Hayuliang,Arunachal Pradesh,True,28.009235,96.4411122,4,495.5,0.824400007724762
10,Chenguinty,Anjaw,Walong,Arunachal Pradesh,True,27.8858991,96.8520327,22,2365.7326049804688,0.8289454579353333
11,Dhanbari,Anjaw,Walong,Arunachal Pradesh,True,28.0078075,96.6214266,0,0.0,
12,Dong,Anjaw,Walong,Arunachal Pradesh,True,28.1679203,97.0389469,0,0.0,
13,Gong,Anjaw,Walong,Arunachal Pradesh,True,28.1700892,97.0008029,0,0.0,
14,Hot Spring,Anjaw,Walong,Arunachal Pradesh,True,28.2928975,97.1638576,0,0.0,
15,Hunung,Anjaw,Walong,Arunachal Pradesh,True,27.8741289,96.9451026,24,4203.21879196167,0.851066658894221
16,Kaho,Anjaw,Walong,Arunachal Pradesh,True,28.3034238,97.0250574,78,6041.947845458984,0.8196794864458915
17,Khrawit,Anjaw,Walong,Arunachal Pradesh,True,27.9044705,96.9437389,8,944.0500106811523,0.8553999960422516
18,Krowti,Anjaw,Walong,Arunachal Pradesh,True,28.2354088,97.0273216,50,4215.098934173584,0.8080720019340515
19,Krowti Labour Camp,Anjaw,Walong,Arunachal Pradesh,True,28.2318311,97.0285584,58,5070.846141815186,0.8044896577966625
20,Kundan,Anjaw,Walong,Arunachal Pradesh,True,28.2425043,97.0254063,14,403.9286003112793,0.7850999917302813
21,Musai,Anjaw,Walong,Arunachal Pradesh,True,28.2588294,97.0287424,108,6579.348556518555,0.8136962972305439
22,Samdul,Anjaw,Walong,Arunachal Pradesh,True,27.8858936,96.9223997,34,1707.5313930511475,0.8165882264866549
23,Supkung,Anjaw,Walong,Arunachal Pradesh,True,28.1588813,97.0363709,40,2510.929786682129,0.8210599988698959
24,Walong,Anjaw,Walong,Arunachal Pradesh,True,28.1294938,97.0166444,524,119778.84995246888,0.8336312980142259
25,Yakung,Anjaw,Walong,Arunachal Pradesh,True,28.1997526,97.0263468,36,2505.2408180236816,0.8201166656282213
26,Achali,Dibang Valley,Anini-Mipi,Arunachal Pradesh,True,28.8429461,95.9704783,7,971.8768005371094,0.8337571365492684
27,Achengo,Dibang Valley,Anini-Mipi,Arunachal Pradesh,True,28.8238506,95.9428387,28,2531.8215136528015,0.8140357158013752
28,Acheso,Dibang Valley,Anini-Mipi,Arunachal Pradesh,True,28.9263772,95.97448,45,2829.203116416931,0.8228244423866272
29,Alinye,Dibang Valley,Anini-Mipi,Arunachal Pradesh,True,28.8346828,95.9628967,127,13081.693862915039,0.8211456682738356
30,Angrim Valley,Dibang Valley,Anini-Mipi,Arunachal Pradesh,True,28.8842816,95.9786208,49,4453.0218114852905,0.8154938804860018
31,Aropo,Dibang Valley,Anini-Mipi,Arunachal Pradesh,True,28.8230901,95.9397069,36,3248.3361172676086,0.8085416687859429
32,Atoto,Dibang Valley,Anini-Mipi,Arunachal Pradesh,True,28.8355826,95.9647411,106,10931.298864364624,0.8232084889456911
33,Echito,Dibang Valley,Anini-Mipi,Arunachal Pradesh,True,28.9291593,95.9752771,54,3441.1454219818115,0.8228203698440835
34,Ediya,Dibang Valley,Anini-Mipi,Arunachal Pradesh,True,28.9638191,95.8076515,21,1659.4683895111084,0.8251999985604059
35,Emuli,Dibang Valley,Anini-Mipi,Arunachal Pradesh,True,28.8871158,95.8356573,16,1385.8924980163574,0.8039499931037426
36,Gipulin,Dibang Valley,Anini-Mipi,Arunachal Pradesh,True,28.8479222,95.9666253,63,6812.487314224243,0.8203936474663871
37,Kamuyi,Dibang Valley,Anini-Mipi,Arunachal Pradesh,True,28.9926912,95.8050502,2,114.72479629516602,0.7641499936580658
38,Mipi H.Q.,Dibang Valley,Anini-Mipi,Arunachal Pradesh,True,28.9641685,95.8081308,21,1659.4683895111084,0.8251999985604059
39,Mipido,Dibang Valley,Anini-Mipi,Arunachal Pradesh,True,28.950424,95.8144355,28,2370.3675022125244,0.8244571409055165
40,Etalin Bridge Point,Dibang Valley,Etalin-Malinye,Arunachal Pradesh,True,28.6094048,95.8703668,162,16926.25113105774,0.8087549382521783
41,Maliney,Dibang Valley,Etalin-Malinye,Arunachal Pradesh,True,28.6750197,96.1532235,77,6904.464239120483,0.8219532447975951
42,Mawali,Dibang Valley,Etalin-Malinye,Arunachal Pradesh,True,28.6599698,96.0170217,12,1181.5503931045532,0.8086916704972585
43,Punli,Dibang Valley,Etalin-Malinye,Arunachal Pradesh,True,28.6565904,95.8520788,41,3133.6379041671753,0.8076146361304493
44,Lengdi/Liang,East Kameng,Bameng,Arunachal Pradesh,True,27.5376292,92.923885,44,3186.5692253112793,0.8108318204229529
45,Upper Liyak,East Kameng,Bameng,Arunachal Pradesh,True,27.5337804,92.8465101,66,5302.958980560303,0.81572727542935
46,Dao,East Kameng,Chayangtajo,Arunachal Pradesh,True,27.7832832,92.9383609,0,0.0,
47,Dara Yangfo,East Kameng,Chayangtajo,Arunachal Pradesh,True,27.732817,93.0487159,22,1618.3301734924316,0.8477000052278693
48,Lamrah,East Kameng,Chayangtajo,Arunachal Pradesh,True,27.6967225,93.0373888,12,1022.0532150268555,0.8393333256244659
49,Loto Yangfo,East Kameng,Chayangtajo,Arunachal Pradesh,True,27.7296573,93.059293,10,1164.062427520752,0.8156399965286255
50,Diya Sullung,East Kameng,Chayangtajo,Arunachal Pradesh,True,27.7760452,93.0124888,0,0.0,
