village_id,village,district,block,state,is_core_sample,latitude,longitude,built_2019,built_2019_image_count
1,Metengliang,Anjaw,Chaglagam,Arunachal Pradesh,True,28.2053139,96.5325529,0.09684075951886766,15
2,Chipra,Anjaw,Chaglagam,Arunachal Pradesh,True,28.2687337,96.564114,0.0533170553253566,15
3,Mithumna,Anjaw,Chaglagam,Arunachal Pradesh,True,28.2346775,96.535261,0.03878165939723025,15
4,Pailiang,Anjaw,Chaglagam,Arunachal Pradesh,True,28.1966606,96.5083691,0.04823641104201587,15
5,Glotong,Anjaw,Hayuliang,Arunachal Pradesh,True,28.2051645,96.6850333,0.03215647325928392,15
6,Hayuliang,Anjaw,Hayuliang,Arunachal Pradesh,True,28.081317,96.5236674,0.22401700910190692,15
7,Keletong,Anjaw,Hayuliang,Arunachal Pradesh,True,28.123006,96.6192583,0.03382264164052795,15
8,Kongra(Metung),Anjaw,Hayuliang,Arunachal Pradesh,True,28.0695862,96.5735857,0.034490006407073844,15
9,Zapaliang,Anjaw,Hayuliang,Arunachal Pradesh,True,28.009235,96.4411122,0.034368459362775335,15
10,Chenguinty,Anjaw,Walong,Arunachal Pradesh,True,27.8858991,96.8520327,0.036236190149559595,28
11,Dhanbari,Anjaw,Walong,Arunachal Pradesh,True,28.0078075,96.6214266,0.03140537556445555,15
12,Dong,Anjaw,Walong,Arunachal Pradesh,True,28.1679203,97.0389469,0.038603755426174696,21
13,Gong,Anjaw,Walong,Arunachal Pradesh,True,28.1700892,97.0008029,0.031031819390173833,21
14,Hot Spring,Anjaw,Walong,Arunachal Pradesh,True,28.2928975,97.1638576,0.03765548274108694,6
15,Hunung,Anjaw,Walong,Arunachal Pradesh,True,27.8741289,96.9451026,0.03694232758622565,28
16,Kaho,Anjaw,Walong,Arunachal Pradesh,True,28.3034238,97.0250574,0.05957899767938315,21
17,Khrawit,Anjaw,Walong,Arunachal Pradesh,True,27.9044705,96.9437389,0.03636736758372845,28
18,Krowti,Anjaw,Walong,Arunachal Pradesh,True,28.2354088,97.0273216,0.08854035013386577,21
19,Krowti Labour Camp,Anjaw,Walong,Arunachal Pradesh,True,28.2318311,97.0285584,0.10119672403073507,21
20,Kundan,Anjaw,Walong,Arunachal Pradesh,True,28.2425043,97.0254063,0.06224334612193494,21
21,Musai,Anjaw,Walong,Arunachal Pradesh,True,28.2588294,97.0287424,0.0837934379816709,21
22,Samdul,Anjaw,Walong,Arunachal Pradesh,True,27.8858936,96.9223997,0.037496344106270715,28
23,Supkung,Anjaw,Walong,Arunachal Pradesh,True,28.1588813,97.0363709,0.058321167842813076,21
24,Walong,Anjaw,Walong,Arunachal Pradesh,True,28.1294938,97.0166444,0.2038797743171615,21
25,Yakung,Anjaw,Walong,Arunachal Pradesh,True,28.1997526,97.0263468,0.05658154278973231,21
