village_id,village,district,block,state,is_core_sample,latitude,longitude,ndbi_2019,lights_2019,ndbi_2019_image_count,lights_2019_image_count
1,Metengliang,Anjaw,Chaglagam,Arunachal Pradesh,True,28.2053139,96.5325529,-0.2102783881602122,0.2394290436100536,72.0,12.0
2,Chipra,Anjaw,Chaglagam,Arunachal Pradesh,True,28.2687337,96.564114,-0.2446092969745741,0.20535833545857,72.0,12.0
3,Mithumna,Anjaw,Chaglagam,Arunachal Pradesh,True,28.2346775,96.535261,-0.2691972188711344,0.1991694269261876,72.0,12.0
4,Pailiang,Anjaw,Chaglagam,Arunachal Pradesh,True,28.1966606,96.5083691,-0.2609516203366023,0.1850411050155291,72.0,12.0
5,Glotong,Anjaw,Hayuliang,Arunachal Pradesh,True,28.2051645,96.6850333,-0.2590769351023854,0.1794266148831124,72.0,12.0
6,Hayuliang,Anjaw,Hayuliang,Arunachal Pradesh,True,28.081317,96.5236674,-0.0629403857423957,0.5469524393566941,72.0,12.0
7,Keletong,Anjaw,Hayuliang,Arunachal Pradesh,True,28.123006,96.6192583,-0.2951235771296201,0.1991500197418786,72.0,12.0
8,Kongra(Metung),Anjaw,Hayuliang,Arunachal Pradesh,True,28.0695862,96.5735857,-0.3004454538064505,0.2734752956744843,72.0,12.0
9,Zapaliang,Anjaw,Hayuliang,Arunachal Pradesh,True,28.009235,96.4411122,-0.2407818931163332,0.1918267768755387,72.0,12.0
10,Chenguinty,Anjaw,Walong,Arunachal Pradesh,True,27.8858991,96.8520327,-0.2210991064808462,0.2150499424116725,72.0,12.0
11,Dhanbari,Anjaw,Walong,Arunachal Pradesh,True,28.0078075,96.6214266,-0.3089393531628868,0.1724769017946165,144.0,12.0
12,Dong,Anjaw,Walong,Arunachal Pradesh,True,28.1679203,97.0389469,-0.0493758084943887,0.1880068436149222,144.0,12.0
13,Gong,Anjaw,Walong,Arunachal Pradesh,True,28.1700892,97.0008029,-0.3271232856862898,0.1643318583402919,144.0,12.0
14,Hot Spring,Anjaw,Walong,Arunachal Pradesh,True,28.2928975,97.1638576,-0.1289386414711703,0.1840439279082077,73.0,12.0
15,Hunung,Anjaw,Walong,Arunachal Pradesh,True,27.8741289,96.9451026,-0.2534327105288635,0.1913405367051418,72.0,12.0
16,Kaho,Anjaw,Walong,Arunachal Pradesh,True,28.3034238,97.0250574,-0.0465716727047253,0.2138627024009974,146.0,12.0
17,Khrawit,Anjaw,Walong,Arunachal Pradesh,True,27.9044705,96.9437389,-0.2191387323357234,0.1754531205228529,72.0,12.0
18,Krowti,Anjaw,Walong,Arunachal Pradesh,True,28.2354088,97.0273216,-0.0693223859805812,0.2346436590056628,146.0,12.0
19,Krowti Labour Camp,Anjaw,Walong,Arunachal Pradesh,True,28.2318311,97.0285584,-0.0906742069681073,0.2573829287811454,146.0,12.0
20,Kundan,Anjaw,Walong,Arunachal Pradesh,True,28.2425043,97.0254063,-0.035639831575103,0.1998445572903088,146.0,12.0
21,Musai,Anjaw,Walong,Arunachal Pradesh,True,28.2588294,97.0287424,0.0453930418031363,0.2254867260797624,146.0,12.0
22,Samdul,Anjaw,Walong,Arunachal Pradesh,True,27.8858936,96.9223997,-0.0469838371133786,0.2276609383862502,72.0,12.0
23,Supkung,Anjaw,Walong,Arunachal Pradesh,True,28.1588813,97.0363709,-0.0485346225932518,0.191386122046119,144.0,12.0
24,Walong,Anjaw,Walong,Arunachal Pradesh,True,28.1294938,97.0166444,-0.010547431467725,0.4003745859259373,144.0,12.0
