village_id,village,district,block,state,is_core_sample,latitude,longitude,vv_before,vh_before,vv_after,vh_after,sar_before_image_count,sar_after_image_count
1,Metengliang,Anjaw,Chaglagam,Arunachal Pradesh,True,28.2053139,96.5325529,-8.32238864627254,-14.619936889842068,-8.436690147965093,-14.748481368539142,30,39
2,Chipra,Anjaw,Chaglagam,Arunachal Pradesh,True,28.2687337,96.564114,-5.823372866063995,-12.664618129358862,-6.138448914350372,-13.001219199327009,30,39
3,Mithumna,Anjaw,Chaglagam,Arunachal Pradesh,True,28.2346775,96.535261,-9.67206970743591,-15.774203237796806,-9.776977685583821,-16.092945672850398,30,39
4,Pailiang,Anjaw,Chaglagam,Arunachal Pradesh,True,28.1966606,96.5083691,-3.029520047908113,-9.902121247492643,-3.139306379038905,-10.1159334487024,30,39
5,Glotong,Anjaw,Hayuliang,Arunachal Pradesh,True,28.2051645,96.6850333,-8.505775568120516,-14.988049006038334,-8.632771231388068,-15.157731799261141,30,39
6,Hayuliang,Anjaw,Hayuliang,Arunachal Pradesh,True,28.081317,96.5236674,-5.909658028917807,-13.24297199600881,-5.946978463485012,-13.371450420521107,30,53
7,Keletong,Anjaw,Hayuliang,Arunachal Pradesh,True,28.123006,96.6192583,-7.657848022103357,-14.35015191121445,-7.779705386096117,-14.557989150236272,30,39
8,Kongra(Metung),Anjaw,Hayuliang,Arunachal Pradesh,True,28.0695862,96.5735857,-12.053568096188219,-18.23516403730415,-12.419651729278266,-18.682447633430815,30,53
9,Zapaliang,Anjaw,Hayuliang,Arunachal Pradesh,True,28.009235,96.4411122,-11.118903301418909,-18.089737135355186,-11.375973628564465,-18.276393556201665,30,41
10,Chenguinty,Anjaw,Walong,Arunachal Pradesh,True,27.8858991,96.8520327,-9.308014866222527,-15.387899094204586,-9.354342873164175,-15.476244935991138,30,40
11,Dhanbari,Anjaw,Walong,Arunachal Pradesh,True,28.0078075,96.6214266,-0.22462491634496123,-7.4116871423881525,-0.5064256360543147,-7.716317333250655,60,52
12,Dong,Anjaw,Walong,Arunachal Pradesh,True,28.1679203,97.0389469,-13.10027040466394,-19.33116475222035,-12.987381915829573,-18.99813910281925,30,39
13,Gong,Anjaw,Walong,Arunachal Pradesh,True,28.1700892,97.0008029,-4.0740949134123365,-10.259386811315212,-4.0894916395300145,-10.227081864672662,30,39
14,Hot Spring,Anjaw,Walong,Arunachal Pradesh,True,28.2928975,97.1638576,-10.56250803984447,-16.594406742455252,-10.605361889860133,-16.664534249986197,30,39
15,Hunung,Anjaw,Walong,Arunachal Pradesh,True,27.8741289,96.9451026,-8.837370227867586,-15.251794780713428,-8.85965461704547,-15.357799921965682,30,40
16,Kaho,Anjaw,Walong,Arunachal Pradesh,True,28.3034238,97.0250574,-11.823035286862194,-17.763966012689995,-11.711654007442206,-17.572289257702604,30,39
17,Khrawit,Anjaw,Walong,Arunachal Pradesh,True,27.9044705,96.9437389,-10.918295649264707,-17.43880632696389,-11.014143212349747,-17.590448612803282,30,40
18,Krowti,Anjaw,Walong,Arunachal Pradesh,True,28.2354088,97.0273216,-8.256422170963015,-15.015719889074873,-8.217617037170104,-15.095510989483262,30,39
19,Krowti Labour Camp,Anjaw,Walong,Arunachal Pradesh,True,28.2318311,97.0285584,-8.13964357939163,-14.918646337757579,-7.8945761945781365,-14.903477793573998,30,39
20,Kundan,Anjaw,Walong,Arunachal Pradesh,True,28.2425043,97.0254063,-8.087299133017815,-14.73814167027832,-7.9475654854737865,-14.84084475424805,30,39
21,Musai,Anjaw,Walong,Arunachal Pradesh,True,28.2588294,97.0287424,-11.08562996355159,-17.784201830866845,-11.124791197886966,-17.713464337539616,30,39
22,Samdul,Anjaw,Walong,Arunachal Pradesh,True,27.8858936,96.9223997,-8.167003317601653,-15.588103677233281,-8.250660693697604,-15.586975057175982,30,40
23,Supkung,Anjaw,Walong,Arunachal Pradesh,True,28.1588813,97.0363709,-12.630522088424565,-19.176552809744877,-12.483221221526675,-18.98659805956207,30,39
24,Walong,Anjaw,Walong,Arunachal Pradesh,True,28.1294938,97.0166444,-5.504594369676505,-12.524027316197206,-5.583527113304114,-12.392075435523017,30,39
25,Yakung,Anjaw,Walong,Arunachal Pradesh,True,28.1997526,97.0263468,-7.090341273788052,-13.997862499816287,-7.124384860476116,-14.01800124780464,30,39
26,Achali,Dibang Valley,Anini-Mipi,Arunachal Pradesh,True,28.8429461,95.9704783,-10.126345783615541,-16.2660293561677,-10.097225398082488,-16.342217277009965,59,58
27,Achengo,Dibang Valley,Anini-Mipi,Arunachal Pradesh,True,28.8238506,95.9428387,-7.241957502934958,-14.04778328849162,-7.335152287027675,-14.252500837271263,59,58
28,Acheso,Dibang Valley,Anini-Mipi,Arunachal Pradesh,True,28.9263772,95.97448,-10.57833724660792,-16.509582777798137,-10.649667414041117,-16.74113466976349,59,58
