village_id,village,district,block,state,is_core_sample,latitude,longitude,vv_before,vh_before,vv_after,vh_after,sar_before_image_count,sar_after_image_count
1,Metengliang,Anjaw,Chaglagam,Arunachal Pradesh,True,28.2053139,96.5325529,-7.733108597797475,-14.19920341325824,-8.010508677039923,-14.409420378070537,11,14
2,Chipra,Anjaw,Chaglagam,Arunachal Pradesh,True,28.2687337,96.564114,-5.226190476001987,-12.164543524654075,-5.707365319577949,-12.520033825135789,11,14
3,Mithumna,Anjaw,Chaglagam,Arunachal Pradesh,True,28.2346775,96.535261,-9.059189508593743,-15.422508980145038,-9.321580068874445,-15.839395223861082,11,14
4,Pailiang,Anjaw,Chaglagam,Arunachal Pradesh,True,28.1966606,96.5083691,-2.23992534660236,-9.420988349965532,-2.537991616010719,-9.749528594149696,11,14
5,Glotong,Anjaw,Hayuliang,Arunachal Pradesh,True,28.2051645,96.6850333,-7.898874542133837,-14.711245089573778,-8.132121007503235,-14.859512842756915,11,14
6,Hayuliang,Anjaw,Hayuliang,Arunachal Pradesh,True,28.081317,96.5236674,-5.493974608039937,-13.05922303871634,-5.6539255939511,-13.285901317316739,11,20
7,Keletong,Anjaw,Hayuliang,Arunachal Pradesh,True,28.123006,96.6192583,-7.162958734304242,-14.071500678980376,-7.396657540078857,-14.32432624659484,11,14
8,Kongra(Metung),Anjaw,Hayuliang,Arunachal Pradesh,True,28.0695862,96.5735857,-11.45414222085768,-17.853250668994885,-11.965707277085704,-18.3958473128242,11,20
9,Zapaliang,Anjaw,Hayuliang,Arunachal Pradesh,True,28.009235,96.4411122,-10.706908449975634,-17.808253276535165,-11.034107308597811,-17.942970205582103,11,15
10,Chenguinty,Anjaw,Walong,Arunachal Pradesh,True,27.8858991,96.8520327,-8.629306369375787,-14.892280749266783,-8.843450230911287,-15.12283308672489,11,15
11,Dhanbari,Anjaw,Walong,Arunachal Pradesh,True,28.0078075,96.6214266,0.3396104619600234,-7.02989418662171,-0.1033379927552919,-7.407094846228486,22,19
12,Dong,Anjaw,Walong,Arunachal Pradesh,True,28.1679203,97.0389469,-12.696030209863233,-18.83616077825437,-12.607723955505813,-18.457905890039967,11,14
13,Gong,Anjaw,Walong,Arunachal Pradesh,True,28.1700892,97.0008029,-3.544977141839542,-9.83651285939779,-3.6412932662444106,-9.72870895882021,11,14
14,Hot Spring,Anjaw,Walong,Arunachal Pradesh,True,28.2928975,97.1638576,-9.933805265150067,-16.135373384511237,-10.083682710613576,-16.284262114382095,11,14
15,Hunung,Anjaw,Walong,Arunachal Pradesh,True,27.8741289,96.9451026,-8.315048632222709,-14.939605007936844,-8.50009655676572,-14.970541850121993,11,15
