system:index,block,district,is_core_sample,lights_after,lights_before,ndbi_after,ndbi_before,state,village,village_id,.geo
00000000000000000000,Chaglagam,Anjaw,True,0.3987717264301902,0.3171513160643117,-0.2550058867557102,-0.1941878228486902,Arunachal Pradesh,Metengliang,1,"{""type"":""Point"",""coordinates"":[96.53255485485357,28.205312420999135]}"
00000000000000000001,Chaglagam,Anjaw,True,0.2225397708644878,0.2843248211715647,-0.2376578061474689,-0.2514870278823652,Arunachal Pradesh,Chipra,2,"{""type"":""Point"",""coordinates"":[96.5641119130088,28.26873421528229]}"
00000000000000000002,Chaglagam,Anjaw,True,0.2121661157731715,0.2618782229014316,-0.2919858849432797,-0.2570213166212297,Arunachal Pradesh,Mithumna,3,"{""type"":""Point"",""coordinates"":[96.53526152919301,28.234675601436084]}"
00000000000000000003,Chaglagam,Anjaw,True,0.2566918938717232,0.2794422734478664,-0.2922386546925156,-0.2476676977224571,Arunachal Pradesh,Pailiang,4,"{""type"":""Point"",""coordinates"":[96.50836869073967,28.196661764955458]}"
00000000000000000004,Hayuliang,Anjaw,True,0.2716788632442821,0.2745833312001851,-0.2982138599011298,-0.2468598951800469,Arunachal Pradesh,Glotong,5,"{""type"":""Point"",""coordinates"":[96.68503381537614,28.205165270664374]}"
00000000000000000005,Hayuliang,Anjaw,True,0.9576133833126684,0.6249926276834665,-0.0975476712609671,-0.0371167802125853,Arunachal Pradesh,Hayuliang,6,"{""type"":""Point"",""coordinates"":[96.52366786645405,28.081318198005967]}"
00000000000000000006,Hayuliang,Anjaw,True,0.2333758770757986,0.2533564568227456,-0.3413181438001028,-0.299797643702915,Arunachal Pradesh,Keletong,7,"{""type"":""Point"",""coordinates"":[96.61925761573677,28.12300633375464]}"
00000000000000000007,Hayuliang,Anjaw,True,0.3544985289660702,0.3531148599510171,-0.3265987311935935,-0.2930998175433155,Arunachal Pradesh,Kongra(Metung),8,"{""type"":""Point"",""coordinates"":[96.57358750274737,28.069586303134354]}"
00000000000000000008,Hayuliang,Anjaw,True,0.262162920966577,0.2799887616312905,-0.2581003183822527,-0.2486078956087995,Arunachal Pradesh,Zapaliang,9,"{""type"":""Point"",""coordinates"":[96.44111206955056,28.00923682947701]}"
00000000000000000009,Walong,Anjaw,True,0.3123964142719992,0.3280410668693821,-0.2395945787916436,-0.1920887248066699,Arunachal Pradesh,Chenguinty,10,"{""type"":""Point"",""coordinates"":[96.85203160892875,27.885898094338707]}"
0000000000000000000a,Walong,Anjaw,True,0.273708425478766,0.2029231366125284,-0.307221889061293,-0.2711492835588326,Arunachal Pradesh,Dhanbari,11,"{""type"":""Point"",""coordinates"":[96.62142473884875,28.007805458038856]}"
0000000000000000000b,Walong,Anjaw,True,0.4047385454177857,0.3086188080702018,-0.0765308352770089,-0.0539727871521701,Arunachal Pradesh,Dong,12,"{""type"":""Point"",""coordinates"":[97.0389482068871,28.16791839956494]}"
0000000000000000000c,Walong,Anjaw,True,0.2745607231278488,0.2896354753247659,-0.3304414181141286,-0.2990014919779357,Arunachal Pradesh,Gong,13,"{""type"":""Point"",""coordinates"":[97.00080505647593,28.17008998177797]}"
0000000000000000000d,Walong,Anjaw,True,0.3103442304290146,0.2483259508116037,-0.1134441568361733,-0.0778167596263822,Arunachal Pradesh,Hot Spring,14,"{""type"":""Point"",""coordinates"":[97.16385654559622,28.292898083890925]}"
0000000000000000000e,Walong,Anjaw,True,0.2640917566785801,0.2522687780341086,-0.2818752581845754,-0.2315894878356167,Arunachal Pradesh,Hunung,15,"{""type"":""Point"",""coordinates"":[96.94510196611627,27.874130526658657]}"
0000000000000000000f,Walong,Anjaw,True,0.9338159155765364,0.5142115603392372,-0.0869845404179616,-0.0303671022755143,Arunachal Pradesh,Kaho,16,"{""type"":""Point"",""coordinates"":[97.02505810710562,28.303426021478103]}"
00000000000000000010,Walong,Anjaw,True,0.234538579700001,0.224190661826007,-0.2573203402671488,-0.2067960485665349,Arunachal Pradesh,Khrawit,17,"{""type"":""Point"",""coordinates"":[96.94373748119392,27.904470250226307]}"
00000000000000000011,Walong,Anjaw,True,0.3186606796569161,0.4187981717781854,-0.0639899775593084,-0.0814070117332514,Arunachal Pradesh,Krowti,18,"{""type"":""Point"",""coordinates"":[97.02732333044077,28.235406894008843]}"
00000000000000000012,Walong,Anjaw,True,0.3408812645460124,1.5644773170681652,-0.0553308508254327,-0.0940588334530224,Arunachal Pradesh,Krowti Labour Camp,19,"{""type"":""Point"",""coordinates"":[97.02855850143258,28.231830694963985]}"
00000000000000000013,Walong,Anjaw,True,0.2727115530907187,0.2797277482600665,-0.0534113406228561,-0.0542149762774296,Arunachal Pradesh,Kundan,20,"{""type"":""Point"",""coordinates"":[97.02540591698778,28.24250578288593]}"
00000000000000000014,Walong,Anjaw,True,0.328359152198629,0.3174935438859779,0.0016734961058979,0.0659925352340783,Arunachal Pradesh,Musai,21,"{""type"":""Point"",""coordinates"":[97.02874132457578,28.258830551842596]}"
00000000000000000015,Walong,Anjaw,True,0.2729384021773587,0.3090242248991882,-0.0458886447289244,-0.018270349957515,Arunachal Pradesh,Samdul,22,"{""type"":""Point"",""coordinates"":[96.92240068265318,27.885893635237654]}"
00000000000000000016,Walong,Anjaw,True,0.4251301207745723,0.3111794088303977,-0.0637013209015172,-0.0495171793581775,Arunachal Pradesh,Supkung,23,"{""type"":""Point"",""coordinates"":[97.0363708464782,28.1588798017296]}"
00000000000000000017,Walong,Anjaw,True,1.8005391933544888,0.892017216052649,-0.022571121563394,0.0153094987114086,Arunachal Pradesh,Walong,24,"{""type"":""Point"",""coordinates"":[97.01664378341778,28.129494325787398]}"
00000000000000000018,Walong,Anjaw,True,0.2781884395831975,0.3163307531265458,-0.025140298090327,-0.0309351667068806,Arunachal Pradesh,Yakung,25,"{""type"":""Point"",""coordinates"":[97.02634678731006,28.19975192198549]}"
00000000000000000019,Anini-Mipi,Dibang Valley,True,0.307754472364782,0.3113683784168038,-0.0863846670317103,-0.0693429832699671,Arunachal Pradesh,Achali,26,"{""type"":""Point"",""coordinates"":[95.97047624886461,28.842946035237684]}"
0000000000000000001a,Anini-Mipi,Dibang Valley,True,0.2947107102943027,0.3116750666101996,-0.0650507972378045,-0.0264769770575022,Arunachal Pradesh,Achengo,27,"{""type"":""Point"",""coordinates"":[95.94283874053535,28.823852164526826]}"
0000000000000000001b,Anini-Mipi,Dibang Valley,True,0.2381240852307854,0.2927457906567213,-0.0863898376366438,-0.0394871614695594,Arunachal Pradesh,Acheso,28,"{""type"":""Point"",""coordinates"":[95.9744805216106,28.926375815947658]}"
0000000000000000001c,Anini-Mipi,Dibang Valley,True,0.3518037108034225,0.3429258617739015,-0.0587149713762547,-0.0255506547539508,Arunachal Pradesh,Alinye,29,"{""type"":""Point"",""coordinates"":[95.96289577707375,28.83468332098565]}"
0000000000000000001d,Anini-Mipi,Dibang Valley,True,0.2416437680577184,0.3289624564595275,-0.0945192459035738,-0.0721780235816802,Arunachal Pradesh,Angrim Valley,30,"{""type"":""Point"",""coordinates"":[95.97862302648926,28.88428190200313]}"
0000000000000000001e,Anini-Mipi,Dibang Valley,True,0.2771213734963021,0.3020067862158168,-0.0697175881609511,-0.0322607952431937,Arunachal Pradesh,Aropo,31,"{""type"":""Point"",""coordinates"":[95.93970845159583,28.82308965824669]}"
0000000000000000001f,Anini-Mipi,Dibang Valley,True,0.3519026340383084,0.3378056473822365,-0.0658462493645321,-0.0248276649800442,Arunachal Pradesh,Atoto,32,"{""type"":""Point"",""coordinates"":[95.96474184490988,28.83558405939845]}"
00000000000000000020,Anini-Mipi,Dibang Valley,True,0.2397081958115689,0.2791986801098259,-0.0675926318182873,-0.0187728722744951,Arunachal Pradesh,Echito,33,"{""type"":""Point"",""coordinates"":[95.97527870069916,28.929158295005006]}"
