village_id,village,district,block,state,is_core_sample,latitude,longitude,ndbi_before,ndbi_after,ndbi_before_image_count,ndbi_after_image_count,lights_before,lights_after,lights_before_image_count,lights_after_image_count
1,Metengliang,Anjaw,Chaglagam,Arunachal Pradesh,True,28.2053139,96.5325529,-0.2139028033382926,-0.25304901605118196,24,29,0.33869456940902576,0.26620288242786266,4,4
2,Chipra,Anjaw,Chaglagam,Arunachal Pradesh,True,28.2687337,96.564114,-0.2264847171958869,-0.19897929657343466,24,29,0.28179722307456867,0.08976111049453418,4,4
3,Mithumna,Anjaw,Chaglagam,Arunachal Pradesh,True,28.2346775,96.535261,-0.2528194224685219,-0.26573557637726547,24,29,0.256412805919484,0.14602925205730707,4,4
4,Pailiang,Anjaw,Chaglagam,Arunachal Pradesh,True,28.1966606,96.5083691,-0.24577979238964118,-0.27502972823253913,24,29,0.30471972346038556,0.194644055976595,4,4
5,Glotong,Anjaw,Hayuliang,Arunachal Pradesh,True,28.2051645,96.6850333,-0.276436327358106,-0.26807450789745585,24,29,0.29529278846205886,0.2101238782072926,4,4
6,Hayuliang,Anjaw,Hayuliang,Arunachal Pradesh,True,28.081317,96.5236674,-0.06202041065069696,-0.07634182568120132,24,29,0.42492808846641433,0.5441675815500517,4,4
7,Keletong,Anjaw,Hayuliang,Arunachal Pradesh,True,28.123006,96.6192583,-0.2057175673852735,-0.2525151770868171,24,29,0.3101637135202956,0.16413984514698468,4,4
8,Kongra(Metung),Anjaw,Hayuliang,Arunachal Pradesh,True,28.0695862,96.5735857,-0.24890193995590693,-0.26635733265770883,24,29,0.3673396015094708,0.27290099381213695,4,4
9,Zapaliang,Anjaw,Hayuliang,Arunachal Pradesh,True,28.009235,96.4411122,-0.2256927385228842,-0.25670034431603683,24,29,0.35911236659864365,0.22440168042196315,4,4
10,Chenguinty,Anjaw,Walong,Arunachal Pradesh,True,27.8858991,96.8520327,-0.27536009618355156,-0.2554341358901372,24,29,0.4024028742849231,0.346487244973569,4,4
11,Dhanbari,Anjaw,Walong,Arunachal Pradesh,True,28.0078075,96.6214266,-0.24730506329880603,-0.27512648989373223,48,58,0.08157705012171998,0.24949833806893248,4,4
12,Dong,Anjaw,Walong,Arunachal Pradesh,True,28.1679203,97.0389469,-0.10520938896972062,-0.16085154526434015,48,58,0.31204494476715294,0.2158851202961872,4,4
13,Gong,Anjaw,Walong,Arunachal Pradesh,True,28.1700892,97.0008029,-0.23814523887335876,-0.18321031344776065,48,58,0.28296788586334537,0.2113621274498214,4,4
14,Hot Spring,Anjaw,Walong,Arunachal Pradesh,True,28.2928975,97.1638576,-0.17019207141465323,-0.25599709944711935,24,29,0.2909883724758659,0.1934662244776687,4,4
15,Hunung,Anjaw,Walong,Arunachal Pradesh,True,27.8741289,96.9451026,-0.25443573165161415,-0.2679511350777377,24,29,0.1546618656529952,0.2180044366224378,4,4
16,Kaho,Anjaw,Walong,Arunachal Pradesh,True,28.3034238,97.0250574,-0.16152737223434765,-0.19387780070942584,48,58,0.26672839313979635,0.36384961443851827,4,4
