village_id,village,district,block,state,is_core_sample,latitude,longitude,ndbi_scl_before,ndbi_scl_after,ndbi_scl_before_image_count,ndbi_scl_after_image_count
1,Metengliang,Anjaw,Chaglagam,Arunachal Pradesh,True,28.2053139,96.5325529,-0.2702947075751725,-0.2766152507648129,24,29
2,Chipra,Anjaw,Chaglagam,Arunachal Pradesh,True,28.2687337,96.564114,-0.2681061377886791,-0.22749023547561953,24,29
3,Mithumna,Anjaw,Chaglagam,Arunachal Pradesh,True,28.2346775,96.535261,-0.24810724684165852,-0.2972632268064179,24,29
4,Pailiang,Anjaw,Chaglagam,Arunachal Pradesh,True,28.1966606,96.5083691,-0.27827348984409267,-0.2796340414041827,24,29
5,Glotong,Anjaw,Hayuliang,Arunachal Pradesh,True,28.2051645,96.6850333,-0.26935956483201834,-0.2638566398240457,24,29
6,Hayuliang,Anjaw,Hayuliang,Arunachal Pradesh,True,28.081317,96.5236674,-0.06322153160064217,-0.07672991649781237,24,29
7,Keletong,Anjaw,Hayuliang,Arunachal Pradesh,True,28.123006,96.6192583,-0.26002764777223775,-0.2510333521372299,24,29
8,Kongra(Metung),Anjaw,Hayuliang,Arunachal Pradesh,True,28.0695862,96.5735857,-0.2508990556139823,-0.2812589023593122,24,29
9,Zapaliang,Anjaw,Hayuliang,Arunachal Pradesh,True,28.009235,96.4411122,-0.23314157016457343,-0.24650081873978558,24,29
10,Chenguinty,Anjaw,Walong,Arunachal Pradesh,True,27.8858991,96.8520327,-0.28663098308778256,-0.2688700750372208,24,29
11,Dhanbari,Anjaw,Walong,Arunachal Pradesh,True,28.0078075,96.6214266,-0.273669190632063,-0.27759635737462146,48,58
12,Dong,Anjaw,Walong,Arunachal Pradesh,True,28.1679203,97.0389469,-0.11109939451513422,-0.13471681080809803,48,58
13,Gong,Anjaw,Walong,Arunachal Pradesh,True,28.1700892,97.0008029,-0.2383163180957089,-0.2902328864119033,48,58
14,Hot Spring,Anjaw,Walong,Arunachal Pradesh,True,28.2928975,97.1638576,-0.248841552594473,-0.2876265042814588,24,29
15,Hunung,Anjaw,Walong,Arunachal Pradesh,True,27.8741289,96.9451026,-0.2747586645345524,-0.26581410226455426,24,29
16,Kaho,Anjaw,Walong,Arunachal Pradesh,True,28.3034238,97.0250574,-0.1722253119653312,-0.182311839980292,48,58
17,Khrawit,Anjaw,Walong,Arunachal Pradesh,True,27.9044705,96.9437389,-0.2761458329402946,-0.2723786509889234,24,29
18,Krowti,Anjaw,Walong,Arunachal Pradesh,True,28.2354088,97.0273216,-0.2798491882131666,-0.18082635413648335,48,58
19,Krowti Labour Camp,Anjaw,Walong,Arunachal Pradesh,True,28.2318311,97.0285584,-0.24201675734359035,-0.12097540851283914,48,58
20,Kundan,Anjaw,Walong,Arunachal Pradesh,True,28.2425043,97.0254063,-0.23419579422470582,-0.1743206844754155,48,58
21,Musai,Anjaw,Walong,Arunachal Pradesh,True,28.2588294,97.0287424,-0.18598888831406446,-0.16702091021613977,48,58
22,Samdul,Anjaw,Walong,Arunachal Pradesh,True,27.8858936,96.9223997,-0.17843536037417396,-0.14149877423453233,24,29
23,Supkung,Anjaw,Walong,Arunachal Pradesh,True,28.1588813,97.0363709,-0.184888418281335,-0.1730091457736801,48,58
24,Walong,Anjaw,Walong,Arunachal Pradesh,True,28.1294938,97.0166444,-0.11498197193119443,-0.11423425237981329,48,58
25,Yakung,Anjaw,Walong,Arunachal Pradesh,True,28.1997526,97.0263468,-0.2947782201439354,-0.1463549831202785,48,58
26,Achali,Dibang Valley,Anini-Mipi,Arunachal Pradesh,True,28.8429461,95.9704783,-0.2675247294763776,-0.257068305994311,196,236
27,Achengo,Dibang Valley,Anini-Mipi,Arunachal Pradesh,True,28.8238506,95.9428387,-0.17643367756887932,-0.18488468870180674,196,236
28,Acheso,Dibang Valley,Anini-Mipi,Arunachal Pradesh,True,28.9263772,95.97448,-0.2161716461855612,-0.25347566360238954,98,118
29,Alinye,Dibang Valley,Anini-Mipi,Arunachal Pradesh,True,28.8346828,95.9628967,-0.22721266674467544,-0.20636812705493135,196,236
30,Angrim Valley,Dibang Valley,Anini-Mipi,Arunachal Pradesh,True,28.8842816,95.9786208,-0.2670405384907245,-0.2677588005834354,196,236
31,Aropo,Dibang Valley,Anini-Mipi,Arunachal Pradesh,True,28.8230901,95.9397069,-0.20459873150117716,-0.21619148285981493,196,236
32,Atoto,Dibang Valley,Anini-Mipi,Arunachal Pradesh,True,28.8355826,95.9647411,-0.22505156014897643,-0.21592599833193088,196,236
33,Echito,Dibang Valley,Anini-Mipi,Arunachal Pradesh,True,28.9291593,95.9752771,-0.2177720404522057,-0.25602568653717894,98,118
34,Ediya,Dibang Valley,Anini-Mipi,Arunachal Pradesh,True,28.9638191,95.8076515,-0.21051583495992326,-0.18688800713107379,49,59
35,Emuli,Dibang Valley,Anini-Mipi,Arunachal Pradesh,True,28.8871158,95.8356573,-0.2656655647431563,-0.2583551081627697,98,118
36,Gipulin,Dibang Valley,Anini-Mipi,Arunachal Pradesh,True,28.8479222,95.9666253,-0.21913505852239742,-0.2331680236672952,196,236
37,Kamuyi,Dibang Valley,Anini-Mipi,Arunachal Pradesh,True,28.9926912,95.8050502,-0.2702842815810893,-0.27304446279013206,49,59
38,Mipi H.Q.,Dibang Valley,Anini-Mipi,Arunachal Pradesh,True,28.9641685,95.8081308,-0.20637119273802712,-0.1840344318573258,49,59
39,Mipido,Dibang Valley,Anini-Mipi,Arunachal Pradesh,True,28.950424,95.8144355,-0.21287230253378245,-0.2237459971524267,49,59
40,Etalin Bridge Point,Dibang Valley,Etalin-Malinye,Arunachal Pradesh,True,28.6094048,95.8703668,-0.20757547207340488,-0.20951393382373154,50,59
41,Maliney,Dibang Valley,Etalin-Malinye,Arunachal Pradesh,True,28.6750197,96.1532235,-0.2802186242002558,-0.24685556213907253,49,59
42,Mawali,Dibang Valley,Etalin-Malinye,Arunachal Pradesh,True,28.6599698,96.0170217,-0.2592074335063535,-0.20850117841951255,100,118
43,Punli,Dibang Valley,Etalin-Malinye,Arunachal Pradesh,True,28.6565904,95.8520788,-0.23911276533573236,-0.2844259369737094,50,59
44,Lengdi/Liang,East Kameng,Bameng,Arunachal Pradesh,True,27.5376292,92.923885,-0.2553537950360093,-0.285869719415009,49,60
45,Upper Liyak,East Kameng,Bameng,Arunachal Pradesh,True,27.5337804,92.8465101,-0.24870887860234883,-0.25330598951951877,49,60
46,Dao,East Kameng,Chayangtajo,Arunachal Pradesh,True,27.7832832,92.9383609,-0.22950570511345536,-0.27755083000593733,49,59
47,Dara Yangfo,East Kameng,Chayangtajo,Arunachal Pradesh,True,27.732817,93.0487159,-0.27838479793999976,-0.2717129705730638,98,120
48,Lamrah,East Kameng,Chayangtajo,Arunachal Pradesh,True,27.6967225,93.0373888,-0.245393236368154,-0.22759722023596127,98,120
49,Loto Yangfo,East Kameng,Chayangtajo,Arunachal Pradesh,True,27.7296573,93.059293,-0.2683845911609282,-0.2557423878703915,98,120
50,Diya Sullung,East Kameng,Chayangtajo,Arunachal Pradesh,True,27.7760452,93.0124888,-0.31989655819905916,-0.2839617952132168,98,120
51,Hara Yangfo,East Kameng,Chayangtajo,Arunachal Pradesh,True,27.751648,93.1327809,-0.2987516811118231,-0.2542469327691997,49,61
52,Jayang Bagang,East Kameng,Chayangtajo,Arunachal Pradesh,True,27.7547367,93.1791026,-0.2652625406772023,-0.25602714716353286,49,61
53,Kesse Bagang,East Kameng,Chayangtajo,Arunachal Pradesh,True,27.7809294,93.2034502,-0.2658726804688311,-0.2537744240649115,49,61
54,Langchu Sullung,East Kameng,Chayangtajo,Arunachal Pradesh,True,27.7569534,92.9355132,-0.2500903427624034,-0.2660375659195934,49,59
55,Nampe Bagang,East Kameng,Chayangtajo,Arunachal Pradesh,True,27.7140627,93.0313033,-0.29764049936668413,-0.2909532028283155,98,120
56,Raro Sullung,East Kameng,Chayangtajo,Arunachal Pradesh,True,27.6890058,93.0717372,-0.2982147058538274,-0.3015589787866462,98,120
57,Tamsang Yangfo,East Kameng,Chayangtajo,Arunachal Pradesh,True,27.6760974,93.0917894,-0.24135112738568607,-0.2703266495354098,98,120
58,Warriam Sullung,East Kameng,Chayangtajo,Arunachal Pradesh,True,27.7279436,92.9802579,-0.24366473319533463,-0.23467426557097906,49,59
59,Wallong,East Kameng,Khenewa,Arunachal Pradesh,True,27.6530641,92.9685879,-0.24075581222561646,-0.27606151455813477,49,60
60,Chate,Kurung Kumey,Damin,Arunachal Pradesh,True,28.1191826,93.3236259,-0.3243406483622554,-0.2781664688080539,49,60
61,Chulla,Kurung Kumey,Damin,Arunachal Pradesh,True,28.1242982,93.411274,-0.28644565803926963,-0.30511487295677053,49,60
62,Damin H.Q.,Kurung Kumey,Damin,Arunachal Pradesh,True,28.1041982,93.3343841,-0.2698304517016775,-0.21869892830206794,49,60
63,Damin Village,Kurung Kumey,Damin,Arunachal Pradesh,True,28.1050092,93.3443566,-0.2816667245600462,-0.2929355315309351,49,60
64,Digok,Kurung Kumey,Damin,Arunachal Pradesh,True,28.1272533,93.3496878,-0.27358576321600325,-0.27012069188692,49,60
65,Fuba,Kurung Kumey,Damin,Arunachal Pradesh,True,28.1198537,93.3376816,-0.31521173787633133,-0.2762516842996382,49,60
66,Huri,Kurung Kumey,Damin,Arunachal Pradesh,True,28.1095105,93.3045975,-0.2912327887638075,-0.2580306707843067,49,60
67,Katuk,Kurung Kumey,Damin,Arunachal Pradesh,True,28.1189094,93.2501395,-0.2693886876333608,-0.23409943318054577,49,60
68,Kopila,Kurung Kumey,Damin,Arunachal Pradesh,True,28.1092251,93.3088818,-0.2671465631059732,-0.24061341845929868,49,60
69,Machang,Kurung Kumey,Damin,Arunachal Pradesh,True,28.0962492,93.3005705,-0.2822696283299806,-0.2839756225883421,49,60
70,Nisuk,Kurung Kumey,Damin,Arunachal Pradesh,True,28.1081822,93.414929,-0.3261844781973768,-0.27771471017674915,49,60
71,Pipa,Kurung Kumey,Damin,Arunachal Pradesh,True,28.0735847,93.283149,-0.26751203481414504,-0.255234795337778,49,60
72,Ramu,Kurung Kumey,Damin,Arunachal Pradesh,True,28.1084035,93.4191096,-0.3298236816299855,-0.24962638341213095,49,60
