District,Block,Habitation,geocode_query_used,latitude,longitude,geocode_status,bhuvan_vid,bhuvan_population
East,Gnathang,Changu,"Changu, East, Sikkim, India",,,NO MATCH — Bhuvan also failed or district mismatch,,
East,Gnathang,Thegu,"Thegu, East, Sikkim, India",,,NO MATCH — Bhuvan also failed or district mismatch,,
East,Gnathang,Gnathang,"Gnathang, East, Sikkim, India",,,NO MATCH — Bhuvan also failed or district mismatch,,
East,Gnathang,Gnathang Forest Block,"Gnathang Forest Block, Gnathang, East, Sikkim, India",,,"EXCLUDED — forest block, not an inhabited settlement",,
North,Chungthang,Chungthang,"Chungthang, Chungthang, North, Sikkim, India",27.604236,88.6465196,matched,,
North,Chungthang,Thangu Forest Block,"Thangu Forest Block, Chungthang, North, Sikkim, India",,,"EXCLUDED — forest block, not an inhabited settlement",,
North,Chungthang,Tung,"Tung, North, Sikkim, India",27.5475,88.6493,matched via Bhuvan (district-verified),1101000100000500.0,201.0
North,Kabi Tingda,Chawang,"Chawang, North, Sikkim, India",27.4415,88.5992,matched via Bhuvan (district-verified),1101000200004200.0,590.0
North,Kabi Tingda,Kabi Forest Block,"Kabi Forest Block, Kabi Tingda, North, Sikkim, India",,,"EXCLUDED — forest block, not an inhabited settlement",,
North,Kabi Tingda,Labi,"Labi, North, Sikkim, India",27.4373,88.6584,matched via Bhuvan (district-verified),1101000200004600.0,406.0
North,Kabi Tingda,Paney-Phensong,"Paney-Phensong, North, Sikkim, India",27.4340487,88.6127695,"matched (fallback query, no block)",,
North,Kabi Tingda,Phamtam,"Phamtam, North, Sikkim, India",27.4557,88.61,matched via Bhuvan (district-verified),1101000200004300.0,214.0
North,Kabi Tingda,Phodong,"Phodong, North, Sikkim, India",27.4130306,88.5838702,"matched (fallback query, no block)",,
North,Kabi Tingda,Phodong Forest Block,"Phodong Forest Block, Kabi Tingda, North, Sikkim, India",,,"EXCLUDED — forest block, not an inhabited settlement",,
North,Kabi Tingda,Ramthang,"Ramthang, North, Sikkim, India",27.4039854,88.550947,"matched (fallback query, no block)",,
North,Kabi Tingda,Rongong,"Rongong, North, Sikkim, India",27.4092,88.5635,matched via Bhuvan (district-verified),1101000200003900.0,728.0
North,Kabi Tingda,Tangyek,"Tangyek, North, Sikkim, India",27.4207,88.527,matched via Bhuvan (district-verified),1101000200003700.0,754.0
North,Kabi Tingda,Tingchim,"Tingchim, North, Sikkim, India",27.4607586,88.5277316,"matched (fallback query, no block)",,
North,Kabi Tingda,Tingda,"Tingda, North, Sikkim, India",27.3957,88.6272,matched via Bhuvan (district-verified),1101000200004800.0,764.0
North,Kabi Tingda,Tumlong,"Tumlong, North, Sikkim, India",27.4198712,88.5898311,"matched (fallback query, no block)",,
North,Lachen,Lachen,"Lachen, Lachen, North, Sikkim, India",27.7305455,88.5469054,matched,,
North,Lachen,Lachen Forest Block,"Lachen Forest Block, Lachen, North, Sikkim, India",,,"EXCLUDED — forest block, not an inhabited settlement",,
North,Lachen,Thangu,"Thangu, North, Sikkim, India",,,NO MATCH — Bhuvan also failed or district mismatch,,
North,Lachung,Lachung,"Lachung, North, Sikkim, India",27.7794,88.7152648,"matched (fallback query, no block)",,
North,Lachung,Lachung Forest Block,"Lachung Forest Block, Lachung, North, Sikkim, India",,,"EXCLUDED — forest block, not an inhabited settlement",,
North,Mangan,Mangan Forest Block,"Mangan Forest Block, Mangan, North, Sikkim, India",,,"EXCLUDED — forest block, not an inhabited settlement",,
North,Passingdang,Barfok,"Barfok, North, Sikkim, India",27.4977,88.491,matched via Bhuvan (district-verified),1101000200002600.0,642.0
North,Passingdang,Gor,"Gor, North, Sikkim, India",27.4302826,88.4984203,"matched (fallback query, no block)",,
