District,Block,Habitation,Block_Confidence,geocode_query_used,latitude,longitude,geocode_status,bhuvan_vid,bhuvan_population
Chamoli,Joshimath,Bamni,Confirmed (Joshimath block = 14 villages = full Chamoli count),"Bamni, Chamoli, Uttarakhand, India",,,NO MATCH — Bhuvan also failed or district mismatch,,
Chamoli,Joshimath,Bampa,Confirmed (Joshimath block = 14 villages = full Chamoli count),"Bampa, Joshimath, Chamoli, Uttarakhand, India",30.7436664,79.8297153,matched,,
Chamoli,Joshimath,Farkiya (Farkiagaon),Confirmed (Joshimath block = 14 villages = full Chamoli count),"Farkiya (Farkiagaon), Chamoli, Uttarakhand, India",,,NO MATCH — Bhuvan also failed or district mismatch,,
Chamoli,Joshimath,Gajkoti,Confirmed (Joshimath block = 14 villages = full Chamoli count),"Gajkoti, Chamoli, Uttarakhand, India",,,NO MATCH — Bhuvan also failed or district mismatch,,
Chamoli,Joshimath,Gamsali,Confirmed (Joshimath block = 14 villages = full Chamoli count),"Gamsali, Joshimath, Chamoli, Uttarakhand, India",30.7559986,79.8261873,matched,,
Chamoli,Joshimath,Gurguti,Confirmed (Joshimath block = 14 villages = full Chamoli count),"Gurguti, Chamoli, Uttarakhand, India",30.7738,79.8758,matched via Bhuvan (district-verified),502000100078600.0,18.0
Chamoli,Joshimath,Joshimath,Confirmed (Joshimath block = 14 villages = full Chamoli count),"Joshimath, Joshimath, Chamoli, Uttarakhand, India",30.5555752,79.5612607,matched,,
Chamoli,Joshimath,Kailashpur,Confirmed (Joshimath block = 14 villages = full Chamoli count),"Kailashpur, Chamoli, Uttarakhand, India",30.7148,79.8639,matched via Bhuvan (district-verified),502000100078900.0,245.0
Chamoli,Joshimath,Kosha (Kosa),Confirmed (Joshimath block = 14 villages = full Chamoli count),"Kosha (Kosa), Chamoli, Uttarakhand, India",,,NO MATCH — Bhuvan also failed or district mismatch,,
Chamoli,Joshimath,Mahargaon,Confirmed (Joshimath block = 14 villages = full Chamoli count),"Mahargaon, Chamoli, Uttarakhand, India",30.4061118,79.4205814,"matched (fallback query, no block)",,
Chamoli,Joshimath,Malari,Confirmed (Joshimath block = 14 villages = full Chamoli count),"Malari, Joshimath, Chamoli, Uttarakhand, India",30.6845508,79.8893688,matched,,
Chamoli,Joshimath,Mana,Confirmed (Joshimath block = 14 villages = full Chamoli count),"Mana, Joshimath, Chamoli, Uttarakhand, India",30.9671228,79.4109692,matched,,
Chamoli,Joshimath,Neeti (Niti),Confirmed (Joshimath block = 14 villages = full Chamoli count),"Neeti (Niti), Chamoli, Uttarakhand, India",,,NO MATCH — Bhuvan also failed or district mismatch,,
Chamoli,Joshimath,Rewal Chak Kurkuti,Confirmed (Joshimath block = 14 villages = full Chamoli count),"Rewal Chak Kurkuti, Chamoli, Uttarakhand, India",,,NO MATCH — Bhuvan also failed or district mismatch,,
Pithoragarh,Munsyari,Bilju,Inferred from established Johar Valley geography (Munsyari block = 8; not from a single name+block source),"Bilju, Munsyari, Pithoragarh, Uttarakhand, India",30.3949398,80.1659059,matched,,
Pithoragarh,Munsyari,Burphu,Inferred from established Johar Valley geography (Munsyari block = 8; not from a single name+block source),"Burphu, Munsyari, Pithoragarh, Uttarakhand, India",30.3666548,80.1842308,matched,,
Pithoragarh,Munsyari,Martoli,Inferred from established Johar Valley geography (Munsyari block = 8; not from a single name+block source),"Martoli, Munsyari, Pithoragarh, Uttarakhand, India",30.3482498,80.1931552,matched,,
Pithoragarh,Munsyari,Milam (Meelam),Inferred from established Johar Valley geography (Munsyari block = 8; not from a single name+block source),"Milam (Meelam), Pithoragarh, Uttarakhand, India",,,NO MATCH — Bhuvan also failed or district mismatch,,
Pithoragarh,Munsyari,Pachhu Gunth,Inferred from established Johar Valley geography (Munsyari block = 8; not from a single name+block source),"Pachhu Gunth, Pithoragarh, Uttarakhand, India",,,NO MATCH — Bhuvan also failed or district mismatch,,
Pithoragarh,Munsyari,Panchhu,Inferred from established Johar Valley geography (Munsyari block = 8; not from a single name+block source),"Panchhu, Pithoragarh, Uttarakhand, India",,,NO MATCH — Bhuvan also failed or district mismatch,,
Pithoragarh,Munsyari,Rilkot,Inferred from established Johar Valley geography (Munsyari block = 8; not from a single name+block source),"Rilkot, Munsyari, Pithoragarh, Uttarakhand, India",30.3104468,80.2080315,matched,,
Pithoragarh,Munsyari,Tola,Inferred from established Johar Valley geography (Munsyari block = 8; not from a single name+block source),"Tola, Munsyari, Pithoragarh, Uttarakhand, India",30.3356863,80.2121168,matched,,
Pithoragarh,Dharchula or Kanalichhina (unresolved),Baling,UNRESOLVED - district confirmed; block not resolvable from available sources (Dharchula=17/Kanalichhina=2 aggregate only),"Baling, Pithoragarh, Uttarakhand, India",30.2092254,80.5479905,matched,,
Pithoragarh,Dharchula or Kanalichhina (unresolved),Dar,UNRESOLVED - district confirmed; block not resolvable from available sources (Dharchula=17/Kanalichhina=2 aggregate only),"Dar, Pithoragarh, Uttarakhand, India",30.069216,80.602947,matched,,
Pithoragarh,Dharchula or Kanalichhina (unresolved),Dugtu,UNRESOLVED - district confirmed; block not resolvable from available sources (Dharchula=17/Kanalichhina=2 aggregate only),"Dugtu, Pithoragarh, Uttarakhand, India",30.21,80.5679,matched via Bhuvan (district-verified),507000200898400.0,170.0
Pithoragarh,Dharchula or Kanalichhina (unresolved),Garbyang,UNRESOLVED - district confirmed; block not resolvable from available sources (Dharchula=17/Kanalichhina=2 aggregate only),"Garbyang, Pithoragarh, Uttarakhand, India",30.1251387,80.8575277,matched,,
Pithoragarh,Dharchula or Kanalichhina (unresolved),Gunji,UNRESOLVED - district confirmed; block not resolvable from available sources (Dharchula=17/Kanalichhina=2 aggregate only),"Gunji, Pithoragarh, Uttarakhand, India",30.1865763,80.8508108,matched,,
Pithoragarh,Dharchula or Kanalichhina (unresolved),Heera Gumari R.F.,UNRESOLVED - district confirmed; block not resolvable from available sources (Dharchula=17/Kanalichhina=2 aggregate only),"Heera Gumari R.F., Pithoragarh, Uttarakhand, India",,,NO MATCH — Bhuvan also failed or district mismatch,,
