District,Block,Habitation,LGD_Code,Households,Population
Anjaw,Chaglagam,Metengliang,266838,52,197
Anjaw,Chaglagam,Aphumna,266826,22,85
Anjaw,Chaglagam,Chaglagam H.Q.,266837,29,192
Anjaw,Chaglagam,Chakka,266834,30,137
Anjaw,Chaglagam,Chipra,266831,5,35
Anjaw,Chaglagam,Chipuiliang,266841,10,57
Anjaw,Chaglagam,Gomin,266850,14,60
Anjaw,Chaglagam,Kaey Maro,266824,3,16
Anjaw,Chaglagam,Kalabro (Kaangbro),266857,0,N/A
Anjaw,Chaglagam,Kalamna,266822,5,21
Anjaw,Chaglagam,"Khalega, Metengliang",266821,13,53
Anjaw,Chaglagam,Khowegko,266843,5,31
Anjaw,Chaglagam,Kromna,266840,31,139
Anjaw,Chaglagam,Mailiang,266830,20,81
Anjaw,Chaglagam,Mithumna,266866,24,102
Anjaw,Chaglagam,Pailiang,266844,13,72
Anjaw,Chaglagam,Payaparap,266847,4,30
Anjaw,Chaglagam,Roiliang,266849,26,133
Anjaw,Chaglagam,Tabretong,266845,10,58
Anjaw,Chaglagam,Tadumna,266846,5,31
Anjaw,Chaglagam,Taflagam,266828,39,148
Anjaw,Chaglagam,Taimna,266842,9,56
Anjaw,Chaglagam,Tamkadu,266832,7,32
Anjaw,Chaglagam,Upper Taflagaon,266829,17,53
Anjaw,Hayuliang,Glotong,266788,11,69
Anjaw,Hayuliang,Hayuliang,266712,374,1834
Anjaw,Hayuliang,Keletong,266800,3,9
Anjaw,Hayuliang,Kongra(Metung),266690,8,28
Anjaw,Hayuliang,Zapaliang,266716,4,15
Anjaw,Walong,Bhaw,266945,15,77
Anjaw,Walong,Chenguinty,266965,7,16
Anjaw,Walong,Dhanbari,266878,6,25
Anjaw,Walong,Dong,266880,4,15
Anjaw,Walong,Gong,266893,0,0
Anjaw,Walong,Hot Spring,266879,1,4
Anjaw,Walong,Hunung,266946,0,0
Anjaw,Walong,Kaho,266868,10,65
Anjaw,Walong,Kheyong,266942,5,22
Anjaw,Walong,Khrawit,266892,3,22
Anjaw,Walong,Kibithoo H.Q.,266876,129,723
Anjaw,Walong,Krowti,266873,6,27
Anjaw,Walong,Krowti Labour Camp,266874,13,29
Anjaw,Walong,Kundan,266871,4,24
Anjaw,Walong,Lamkung,266938,3,15
Anjaw,Walong,Misai labour Camp,266870,69,232
Anjaw,Walong,Musai,266869,65,262
Anjaw,Walong,Pranju,266940,1,6
Anjaw,Walong,Samdul,266952,12,51
Anjaw,Walong,Sanglang,266943,17,82
Anjaw,Walong,Staging Hut Krosam,266962,0,0
Anjaw,Walong,Supkung,266881,4,23
Anjaw,Walong,Walong,266883,21,79
Anjaw,Walong,Walong BRTF Camp,266902,25,109
Anjaw,Walong,Walong H.Q.,266901,101,392
Anjaw,Walong,Yakung,266875,13,64
Dibang Valley,Anelih-Arzu,Adane,266010,4,6
Dibang Valley,Anini-Mipi,Achali,265928,2,11
Dibang Valley,Anini-Mipi,Achengo,265937,2,5
Dibang Valley,Anini-Mipi,Acheso,265936,10,31
Dibang Valley,Anini-Mipi,Ahungo,265913,7,49
Dibang Valley,Anini-Mipi,Alinye,265926,48,201
Dibang Valley,Anini-Mipi,Angrim Valley,265921,31,116
Dibang Valley,Anini-Mipi,Aropo,265932,21,95
Dibang Valley,Anini-Mipi,Atoto,265922,4,13
Dibang Valley,Anini-Mipi,Ebamee,265939,10,20
Dibang Valley,Anini-Mipi,Echito,265940,7,22
Dibang Valley,Anini-Mipi,Ediya,265915,3,11
Dibang Valley,Anini-Mipi,Emuli,265907,15,58
Dibang Valley,Anini-Mipi,Gipulin,265923,27,131
Dibang Valley,Anini-Mipi,Kamuyi,265918,4,29
Dibang Valley,Anini-Mipi,Mipi H.Q.,265920,8,19
Dibang Valley,Anini-Mipi,Mipido,265914,4,25
Dibang Valley,Anini-Mipi,New Achuli,265927,4,13
Dibang Valley,Etalin-Malinye,Etalin Bridge Point,265975,41,170
Dibang Valley,Etalin-Malinye,Etalin H.Q.,266002,64,247
Dibang Valley,Etalin-Malinye,Maliney,265996,27,127
Dibang Valley,Etalin-Malinye,Mawali,265991,1,2
Dibang Valley,Etalin-Malinye,New Echanli,266000,8,58
Dibang Valley,Etalin-Malinye,New Emali(Old Etalin),266001,0,0
Dibang Valley,Etalin-Malinye,Punli,265983,4,32
East Kameng,Bameng,Babey Camp,262126,6,30
East Kameng,Bameng,Bameng H.Q.,262132,204,934
East Kameng,Bameng,Beyong,262098,60,242
East Kameng,Bameng,Lengdi/Liang,262116,18,89
East Kameng,Bameng,Rasong,262129,15,70
East Kameng,Bameng,Taffo,262123,17,68
East Kameng,Bameng,Tayung,262131,24,99
East Kameng,Bameng,Upper Liyak,262128,30,173
East Kameng,Bameng,Upper Liyak Doncha,262125,22,130
East Kameng,Chayangtajo,Chayangtajo H.Q.,262245,281,1329
East Kameng,Chayangtajo,Dache Sullung,262244,6,32
East Kameng,Chayangtajo,Dao,262251,12,64
East Kameng,Chayangtajo,Dara Yangfo,262258,12,66
East Kameng,Chayangtajo,Lamrah,262256,13,100
East Kameng,Chayangtajo,Loto Yangfo,262255,26,112
East Kameng,Chayangtajo,Diya Sullung,262266,4,18
East Kameng,Chayangtajo,Hara Yangfo,262221,15,103
East Kameng,Chayangtajo,Jayang Bagang,262218,105,659
East Kameng,Chayangtajo,Kesse Bagang,262219,34,255
East Kameng,Chayangtajo,Langchu Sullung,262252,19,77
East Kameng,Chayangtajo,Langruk Tajo,262233,3,15
East Kameng,Chayangtajo,Nampe Bagang,262273,22,170
East Kameng,Chayangtajo,Raro Sullung,262268,12,55
East Kameng,Chayangtajo,Saria Takhang,262271,36,148
East Kameng,Chayangtajo,Sawa H.Q.,262272,6,34
East Kameng,Chayangtajo,Tamsang Yangfo,262227,13,88
East Kameng,Chayangtajo,Warriam Sullung,262270,7,39
East Kameng,Khenewa,Bisai,262069,21,145
East Kameng,Khenewa,Sachung,262072,21,165
East Kameng,Khenewa,Dongkha,262075,8,45
East Kameng,Khenewa,Welling Tawe,262074,3,22
East Kameng,Khenewa,Drakshi,262088,30,198
East Kameng,Khenewa,Kojo,262089,20,147
East Kameng,Khenewa,Lada H.Q.,262082,48,251
East Kameng,Khenewa,Rawa,262200,56,323
East Kameng,Khenewa,Rojo,262090,15,110
East Kameng,Khenewa,Wabalang,262084,9,82
East Kameng,Khenewa,Wagyung,262187,6,25
East Kameng,Khenewa,Wallong,262209,28,113
Kurung Kumey,Damin,Boruk,265781,12,61
Kurung Kumey,Damin,Chate,265796,12,84
Kurung Kumey,Damin,Chulla,265826,18,106
Kurung Kumey,Damin,Damin H.Q.,265777,99,660
Kurung Kumey,Damin,Damin Village,265780,11,50
Kurung Kumey,Damin,Digok,265811,7,29
Kurung Kumey,Damin,Fuba,265808,58,304
Kurung Kumey,Damin,Hume,265828,10,66
Kurung Kumey,Damin,Huri,265794,8,49
Kurung Kumey,Damin,Katuk,265805,8,46
Kurung Kumey,Damin,Kopila,265793,17,118
Kurung Kumey,Damin,Machang,265792,22,137
Kurung Kumey,Damin,Nisuk,265820,6,35
Kurung Kumey,Damin,Pipa,265801,10,40
Kurung Kumey,Damin,Ramu,265818,24,130
Kurung Kumey,Damin,Rane,265802,4,30
Kurung Kumey,Damin,Rawiok,265806,12,47
Kurung Kumey,Damin,Ruba,265807,45,204
Kurung Kumey,Damin,Senamriang,265800,13,60
Kurung Kumey,Damin,Sibia,265795,10,61
Kurung Kumey,Damin,Tarba,265798,16,74
Kurung Kumey,Damin,Tokriang,265778,20,150
Kurung Kumey,Damin,Yaso,265784,8,43
Kurung Kumey,Koloriang,Buhan,265467,3,12
Kurung Kumey,Koloriang,Buyang,265476,0,0
Kurung Kumey,Koloriang,Buyang-II,265477,27,149
Kurung Kumey,Koloriang,Chello,265464,14,93
Kurung Kumey,Koloriang,Chimpu,265478,4,19
Kurung Kumey,Koloriang,Chomi,265486,11,57
Kurung Kumey,Koloriang,Chote,265485,3,13
Kurung Kumey,Koloriang,Degging I,265482,11,48
Kurung Kumey,Koloriang,Kachanjane,265452,5,28
Kurung Kumey,Koloriang,Kiodhriang,265473,7,27
Kurung Kumey,Koloriang,Naji Bibok,265472,14,86
Kurung Kumey,Koloriang,Nangram,265438,83,350
Kurung Kumey,Koloriang,Nyolo,265469,21,75
Kurung Kumey,Koloriang,Pakba,265433,28,175
Kurung Kumey,Koloriang,Papu,265453,16,87
Kurung Kumey,Koloriang,Rengchi,265431,12,69
Kurung Kumey,Koloriang,Sollung Tapin,265463,3,22
Kurung Kumey,Koloriang,Tate,265488,15,99
Kurung Kumey,Koloriang,Yumlam,265426,35,241
Kurung Kumey,Parsi-Parlo,Cheba,265748,16,109
Kurung Kumey,Parsi-Parlo,Dalang,265761,25,136
Kurung Kumey,Parsi-Parlo,Dape,265773,18,112
Kurung Kumey,Parsi-Parlo,Dare,265768,8,42
Kurung Kumey,Parsi-Parlo,Geyang,265774,31,167
Kurung Kumey,Parsi-Parlo,Gonang,265716,48,365
Kurung Kumey,Parsi-Parlo,Hissang,265745,12,48
Kurung Kumey,Parsi-Parlo,Leneriang,265746,12,55
Kurung Kumey,Parsi-Parlo,Nyokuriang,265740,12,63
Kurung Kumey,Parsi-Parlo,Pachang,265762,31,161
Kurung Kumey,Parsi-Parlo,Pado I,265733,24,133
Kurung Kumey,Parsi-Parlo,Pagam,265766,10,55
Kurung Kumey,Parsi-Parlo,Pape,265765,24,129
Kurung Kumey,Parsi-Parlo,Pariang,265747,20,122
Kurung Kumey,Parsi-Parlo,Parsi-Parlo H.Q.,265712,39,234
Kurung Kumey,Parsi-Parlo,Passik,265753,14,83
Kurung Kumey,Parsi-Parlo,Pilop,265751,24,114
Kurung Kumey,Parsi-Parlo,Rashik,265741,14,88
Kurung Kumey,Parsi-Parlo,Renchiporiang -I,265720,24,165
Kurung Kumey,Parsi-Parlo,Yarba-I,265731,24,142
Kurung Kumey,Sarli,Bala,265704,3,15
Kurung Kumey,Sarli,Chaching,265693,6,43
Kurung Kumey,Sarli,Chulu,265711,15,65
Kurung Kumey,Sarli,Gane,265702,5,30
Kurung Kumey,Sarli,Haraiho,265678,5,29
Kurung Kumey,Sarli,Kapu,265708,16,91
Kurung Kumey,Sarli,Koropu,265685,10,49
Kurung Kumey,Sarli,Machane,265701,16,99
Kurung Kumey,Sarli,Malo,265677,7,44
Kurung Kumey,Sarli,Milli,265703,21,121
Kurung Kumey,Sarli,Namjo,265698,6,51
Kurung Kumey,Sarli,New Sarli,265681,7,26
Kurung Kumey,Sarli,Pale,265700,8,62
Kurung Kumey,Sarli,Riya,265710,4,15
Kurung Kumey,Sarli,Sahrma,265706,10,64
Kurung Kumey,Sarli,Sape,265676,19,226
Kurung Kumey,Sarli,Sarli,265673,39,340
Kurung Kumey,Sarli,Sate,265674,56,248
Kurung Kumey,Sarli,Vatalin,265707,10,52
Kurung Kumey,Sarli,Wabia,265696,11,95
Kurung Kumey,Sarli,Walu,265699,5,47
Kurung Kumey,Sarli,Waru,265709,24,122
Lower Dibang,Hunli-Desali,Chanli,266090,8,45
Lower Dibang,Hunli-Desali,Yuma (7 KM),266052,8,21
Tawang,Jang-Thingbu,Broxer,261609,0,0
Tawang,Jang-Thingbu,Dungse,261557,375,1770
Tawang,Jang-Thingbu,Kharsa(New),261555,102,559
Tawang,Jang-Thingbu,Kharsa(Old),261554,24,132
Tawang,Jang-Thingbu,Luguthang,261611,11,58
Tawang,Jang-Thingbu,Mago,261607,75,486
Tawang,Jang-Thingbu,Marmang,261553,74,497
Tawang,Jang-Thingbu,Namazing,261556,121,664
Tawang,Jang-Thingbu,Rho,261608,132,652
Tawang,Jang-Thingbu,Sarong,261606,10,33
Tawang,Jang-Thingbu,Thingbu H.Q.,261610,69,363
Tawang,Jang-Thingbu,Yuthumbu,261558,204,1363
Tawang,Kitpi,Audung,261537,41,145
Tawang,Kitpi,Bathung,261536,9,39
Tawang,Kitpi,Boimkang,261550,12,41
Tawang,Kitpi,Boksar,261543,16,64
Tawang,Kitpi,Bomdir Basti,261528,59,235
Tawang,Kitpi,Bongbong/Chaksam,261545,9,40
Tawang,Kitpi,Bragyap,261548,19,81
Tawang,Kitpi,Grenghar,261521,21,112
Tawang,Kitpi,Jamkhar (Shemghar),261538,17,90
Tawang,Kitpi,Jyarmang Ani Gonpa,261526,5,5
Tawang,Kitpi,Khardung,261551,35,127
Tawang,Kitpi,Khrimu,261547,148,596
Tawang,Kitpi,Khromten Gonpa,261525,1,2
Tawang,Kitpi,Kitpi,261533,15,53
Tawang,Kitpi,Kitpi II,261534,60,210
Tawang,Kitpi,Kralling,261544,23,124
Tawang,Kitpi,Langbutse,261530,30,134
Tawang,Kitpi,Lhargong,261523,16,58
Tawang,Kitpi,Namet,261524,36,150
Tawang,Kitpi,Namtungtse,261527,18,89
Tawang,Kitpi,Ruighar,261539,10,28
Tawang,Kitpi,Shernup,261542,21,94
Tawang,Kitpi,Soma,261546,15,37
Tawang,Kitpi,Tarmang Gonpa,261531,5,21
