District,Block,Habitation
East,Gnathang,Changu
East,Gnathang,Thegu
East,Gnathang,Gnathang
East,Gnathang,Gnathang Forest Block
North,Chungthang,Chungthang
North,Chungthang,Thangu Forest Block
North,Chungthang,Tung
North,Kabi Tingda,Chawang
North,Kabi Tingda,Kabi Forest Block
North,Kabi Tingda,Labi
North,Kabi Tingda,Paney-Phensong
North,Kabi Tingda,Phamtam
North,Kabi Tingda,Phodong
North,Kabi Tingda,Phodong Forest Block
North,Kabi Tingda,Ramthang
North,Kabi Tingda,Rongong
North,Kabi Tingda,Tangyek
North,Kabi Tingda,Tingchim
North,Kabi Tingda,Tingda
North,Kabi Tingda,Tumlong
North,Lachen,Lachen
North,Lachen,Lachen Forest Block
North,Lachen,Thangu
North,Lachung,Lachung
North,Lachung,Lachung Forest Block
North,Mangan,Mangan Forest Block
North,Passingdang,Barfok
North,Passingdang,Gor
North,Passingdang,Hee-Gyathang
North,Passingdang,Lower Mangshila
North,Passingdang,Lingdem
North,Passingdang,Lingdong
North,Passingdang,Lingthem
North,Passingdang,Lingzah-Tolung
North,Passingdang,Lower Dzongu Forest Block
North,Passingdang,Lum
North,Passingdang,Namok
North,Passingdang,Sakyong-Pentong
North,Passingdang,Salim Pakel
North,Passingdang,Sangtok
North,Passingdang,Sheyam
North,Passingdang,Shipgyer
North,Passingdang,Tingbong
North,Passingdang,Upper Mangshila
North,Passingdang,Upper Dzongu Forest Block
North,Passingdang,Zimchung
