District,Block,Habitation,Block_Confidence
Chamoli,Joshimath,Bamni,Confirmed (Joshimath block = 14 villages = full Chamoli count)
Chamoli,Joshimath,Bampa,Confirmed (Joshimath block = 14 villages = full Chamoli count)
Chamoli,Joshimath,Farkiya (Farkiagaon),Confirmed (Joshimath block = 14 villages = full Chamoli count)
Chamoli,Joshimath,Gajkoti,Confirmed (Joshimath block = 14 villages = full Chamoli count)
Chamoli,Joshimath,Gamsali,Confirmed (Joshimath block = 14 villages = full Chamoli count)
Chamoli,Joshimath,Gurguti,Confirmed (Joshimath block = 14 villages = full Chamoli count)
Chamoli,Joshimath,Joshimath,Confirmed (Joshimath block = 14 villages = full Chamoli count)
Chamoli,Joshimath,Kailashpur,Confirmed (Joshimath block = 14 villages = full Chamoli count)
Chamoli,Joshimath,Kosha (Kosa),Confirmed (Joshimath block = 14 villages = full Chamoli count)
Chamoli,Joshimath,Mahargaon,Confirmed (Joshimath block = 14 villages = full Chamoli count)
Chamoli,Joshimath,Malari,Confirmed (Joshimath block = 14 villages = full Chamoli count)
Chamoli,Joshimath,Mana,Confirmed (Joshimath block = 14 villages = full Chamoli count)
Chamoli,Joshimath,Neeti (Niti),Confirmed (Joshimath block = 14 villages = full Chamoli count)
Chamoli,Joshimath,Rewal Chak Kurkuti,Confirmed (Joshimath block = 14 villages = full Chamoli count)
Pithoragarh,Munsyari,Bilju,Inferred from established Johar Valley geography (Munsyari block = 8; not from a single name+block source)
Pithoragarh,Munsyari,Burphu,Inferred from established Johar Valley geography (Munsyari block = 8; not from a single name+block source)
Pithoragarh,Munsyari,Martoli,Inferred from established Johar Valley geography (Munsyari block = 8; not from a single name+block source)
Pithoragarh,Munsyari,Milam (Meelam),Inferred from established Johar Valley geography (Munsyari block = 8; not from a single name+block source)
Pithoragarh,Munsyari,Pachhu Gunth,Inferred from established Johar Valley geography (Munsyari block = 8; not from a single name+block source)
Pithoragarh,Munsyari,Panchhu,Inferred from established Johar Valley geography (Munsyari block = 8; not from a single name+block source)
Pithoragarh,Munsyari,Rilkot,Inferred from established Johar Valley geography (Munsyari block = 8; not from a single name+block source)
Pithoragarh,Munsyari,Tola,Inferred from established Johar Valley geography (Munsyari block = 8; not from a single name+block source)
Pithoragarh,Dharchula or Kanalichhina (unresolved),Baling,UNRESOLVED - district confirmed; block not resolvable from available sources (Dharchula=17/Kanalichhina=2 aggregate only)
Pithoragarh,Dharchula or Kanalichhina (unresolved),Dar,UNRESOLVED - district confirmed; block not resolvable from available sources (Dharchula=17/Kanalichhina=2 aggregate only)
Pithoragarh,Dharchula or Kanalichhina (unresolved),Dugtu,UNRESOLVED - district confirmed; block not resolvable from available sources (Dharchula=17/Kanalichhina=2 aggregate only)
Pithoragarh,Dharchula or Kanalichhina (unresolved),Garbyang,UNRESOLVED - district confirmed; block not resolvable from available sources (Dharchula=17/Kanalichhina=2 aggregate only)
Pithoragarh,Dharchula or Kanalichhina (unresolved),Gunji,UNRESOLVED - district confirmed; block not resolvable from available sources (Dharchula=17/Kanalichhina=2 aggregate only)
Pithoragarh,Dharchula or Kanalichhina (unresolved),Heera Gumari R.F.,UNRESOLVED - district confirmed; block not resolvable from available sources (Dharchula=17/Kanalichhina=2 aggregate only)
Pithoragarh,Dharchula or Kanalichhina (unresolved),Heera Gumari R.F. (P-2),UNRESOLVED - district confirmed; block not resolvable from available sources (Dharchula=17/Kanalichhina=2 aggregate only)
Pithoragarh,Dharchula or Kanalichhina (unresolved),Khimling,UNRESOLVED - district confirmed; block not resolvable from available sources (Dharchula=17/Kanalichhina=2 aggregate only)
Pithoragarh,Dharchula or Kanalichhina (unresolved),Kuti,UNRESOLVED - district confirmed; block not resolvable from available sources (Dharchula=17/Kanalichhina=2 aggregate only)
Pithoragarh,Dharchula or Kanalichhina (unresolved),Marcha (Marchha),UNRESOLVED - district confirmed; block not resolvable from available sources (Dharchula=17/Kanalichhina=2 aggregate only)
Pithoragarh,Dharchula or Kanalichhina (unresolved),Napalchu (Napalachchu),UNRESOLVED - district confirmed; block not resolvable from available sources (Dharchula=17/Kanalichhina=2 aggregate only)
Pithoragarh,Dharchula or Kanalichhina (unresolved),Navi,UNRESOLVED - district confirmed; block not resolvable from available sources (Dharchula=17/Kanalichhina=2 aggregate only)
Pithoragarh,Dharchula or Kanalichhina (unresolved),Rongkong (Raung Kong),UNRESOLVED - district confirmed; block not resolvable from available sources (Dharchula=17/Kanalichhina=2 aggregate only)
Pithoragarh,Dharchula or Kanalichhina (unresolved),Seepu (Sipu),UNRESOLVED - district confirmed; block not resolvable from available sources (Dharchula=17/Kanalichhina=2 aggregate only)
Pithoragarh,Dharchula or Kanalichhina (unresolved),Sela,UNRESOLVED - district confirmed; block not resolvable from available sources (Dharchula=17/Kanalichhina=2 aggregate only)
Pithoragarh,Dharchula or Kanalichhina (unresolved),Sobla (Sobala),UNRESOLVED - district confirmed; block not resolvable from available sources (Dharchula=17/Kanalichhina=2 aggregate only)
Pithoragarh,Dharchula or Kanalichhina (unresolved),Tidang,UNRESOLVED - district confirmed; block not resolvable from available sources (Dharchula=17/Kanalichhina=2 aggregate only)
