state,District,total,geocoded,rate_pct
Arunachal Pradesh,Anjaw,55,25,45.5
Arunachal Pradesh,Dibang Valley,25,18,72.0
Arunachal Pradesh,East Kameng,39,16,41.0
Arunachal Pradesh,Kra daadi,6,5,83.3
Arunachal Pradesh,Kurung Kumey,84,70,83.3
Arunachal Pradesh,Lower Dibang,2,1,50.0
Arunachal Pradesh,Shiyomi,30,0,0.0
Arunachal Pradesh,Tawang,155,26,16.8
Arunachal Pradesh,Upper Siang,30,15,50.0
Arunachal Pradesh,Upper Subansiri,18,8,44.4
Arunachal Pradesh,West Kameng,11,2,18.2
Sikkim,East,4,0,0.0
Sikkim,North,42,31,73.8
Uttarakhand,Chamoli,14,8,57.1
Uttarakhand,Pithoragarh,27,16,59.3
Uttarakhand,Uttarkashi,10,10,100.0
